#!,Workbook:,Custom,Custom,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,
#!,For more information visit http://aka.ms/hackingstem/,,,
1300,1300,1300,1300,-30.97
1300,1300,1300,1300,-35.35
1300,1300,1300,1300,-39.97
1300,1300,1300,1300,-45.35
1300,1300,1300,1300,-51.04
1300,1300,1300,1300,-56.72
1300,1300,1300,1300,-62.41
1300,1300,1300,1300,-68.79
1300,1300,1300,1300,-73.16
1300,1300,1300,1300,-77.04
1300,1300,1300,1300,-80.54
1300,1300,1300,1300,-83.54
1300,1300,1300,1300,-86.29
1300,1300,1300,1300,-88.35
1300,1300,1300,1300,-89.41
1300,1300,1300,1300,-89.16
1300,1300,1300,1300,-88.29
1300,1300,1300,1300,-87.22
1300,1300,1300,1300,-86.35
1300,1300,1300,1300,-85.72
1300,1300,1300,1300,-85.41
1300,1300,1300,1300,-84.97
1300,1300,1300,1300,-84.16
1300,1300,1300,1300,-82.47
1300,1300,1300,1300,-80.04
1300,1300,1300,1300,-77.22
1300,1300,1300,1300,-74.1
1300,1300,1300,1300,-70.97
1300,1300,1300,1300,-67.35
1300,1300,1300,1300,-64.72
1300,1300,1300,1300,-62.47
1300,1300,1300,1300,-60.6
1300,1300,1300,1300,-58.97
1300,1300,1300,1300,-57.79
1300,1300,1300,1300,-56.91
1300,1300,1300,1300,-55.97
1300,1300,1300,1300,-55.47
1300,1300,1300,1300,-55.16
1300,1300,1300,1300,-54.85
1300,1300,1300,1300,-54.85
1300,1300,1300,1300,-55.04
1300,1300,1300,1300,-55.35
1300,1300,1300,1300,-55.91
1300,1300,1300,1300,-56.79
1300,1300,1300,1300,-57.66
1300,1300,1300,1300,-58.91
1300,1300,1300,1300,-60.16
1300,1300,1300,1300,-61.41
1300,1300,1300,1300,-62.79
1300,1300,1300,1300,-64.29
1300,1300,1300,1300,-65.16
1300,1300,1300,1300,-65.97
1300,1300,1300,1300,-66.54
1300,1300,1300,1300,-66.72
1300,1300,1300,1300,-66.97
1300,1300,1300,1300,-66.97
1300,1300,1300,1300,-67.04
1300,1300,1300,1300,-67.16
1300,1300,1300,1300,-67.35
1300,1300,1300,1300,-67.6
1300,1300,1300,1300,-68.54
1300,1300,1300,1300,-69.66
1300,1300,1300,1300,-70.91
1300,1300,1300,1300,-72.16
1300,1300,1300,1300,-73.35
1300,1300,1300,1300,-73.97
1300,1300,1300,1300,-74.54
1300,1300,1300,1300,-74.79
1300,1300,1300,1300,-75.16
1300,1300,1300,1300,-75.35
1300,1300,1300,1300,-75.47
1300,1300,1300,1300,-75.6
1300,1300,1300,1300,-75.47
1300,1300,1300,1300,-75.22
1300,1300,1300,1300,-74.6
1300,1300,1300,1300,-73.85
1300,1300,1300,1300,-73.1
1300,1300,1300,1300,-72.16
1300,1300,1300,1300,-70.97
1300,1300,1300,1300,-70.04
1300,1300,1300,1300,-69.04
1300,1300,1300,1300,-68.1
1300,1300,1300,1300,-67.35
1300,1300,1300,1300,-66.47
1300,1300,1300,1300,-65.72
1300,1300,1300,1300,-64.91
1300,1300,1300,1300,-64.22
1300,1300,1300,1300,-63.72
1300,1300,1300,1300,-63.35
1300,1300,1300,1300,-62.91
1300,1300,1300,1300,-62.72
1300,1300,1300,1300,-62.66
1300,1300,1300,1300,-62.79
1300,1300,1300,1300,-63.04
1300,1300,1300,1300,-63.29
1300,1300,1300,1300,-63.41
1300,1300,1300,1300,-63.66
1300,1300,1300,1300,-63.79
1300,1300,1300,1300,-63.79
1300,1300,1300,1300,-63.79
1300,1300,1300,1300,-63.79
1300,1300,1300,1300,-63.66
1300,1300,1300,1300,-63.72
1300,1300,1300,1300,-63.79
1300,1300,1300,1300,-63.85
1300,1300,1300,1300,-63.97
1300,1300,1300,1300,-64.1
1300,1300,1300,1300,-64.16
1300,1300,1300,1300,-64.22
1300,1300,1300,1300,-64.16
1300,1300,1300,1300,-63.91
1300,1300,1300,1300,-63.79
1300,1300,1300,1300,-63.6
1300,1300,1300,1300,-63.29
1300,1300,1300,1300,-63.22
1300,1300,1300,1300,-63.22
1300,1300,1300,1300,-63.16
1300,1300,1300,1300,-63.35
1300,1300,1300,1300,-63.6
1300,1300,1300,1300,-63.79
1300,1300,1300,1300,-64.1
1300,1300,1300,1300,-64.35
1300,1300,1300,1300,-64.35
1300,1300,1300,1300,-64.54
1300,1300,1300,1300,-64.6
1300,1300,1300,1300,-64.6
1300,1300,1300,1300,-64.6
1300,1300,1300,1300,-64.97
1300,1300,1300,1300,-65.97
1300,1300,1300,1300,-67.1
1300,1300,1300,1300,-68.54
1300,1300,1300,1300,-69.79
1300,1300,1300,1300,-70.91
1300,1300,1300,1300,-71.91
1300,1300,1300,1300,-72.66
1300,1300,1300,1300,-73.47
1300,1300,1300,1300,-74.1
1300,1300,1300,1300,-74.41
1300,1300,1300,1300,-74.54
1300,1300,1300,1300,-74.6
1300,1300,1300,1300,-74.35
1300,1300,1300,1300,-73.97
1300,1300,1300,1300,-73.04
1300,1300,1300,1300,-72.1
1300,1300,1300,1300,-71.04
1300,1300,1300,1300,-70.1
1300,1300,1300,1300,-69.04
1300,1300,1300,1300,-68.04
1300,1300,1300,1300,-67.29
1300,1300,1300,1300,-66.47
1300,1300,1300,1300,-65.91
1300,1300,1300,1300,-65.6
1300,1300,1300,1300,-65.29
1300,1300,1300,1300,-64.97
1300,1300,1300,1300,-64.91
1300,1300,1300,1300,-64.79
1300,1300,1300,1300,-64.6
1300,1300,1300,1300,-64.47
1300,1300,1300,1300,-64.54
1300,1300,1300,1300,-64.41
1300,1300,1300,1300,-64.6
1300,1300,1300,1300,-64.91
1300,1300,1300,1300,-65.16
1300,1300,1300,1300,-65.72
1300,1300,1300,1300,-66.22
1300,1300,1300,1300,-66.6
1300,1300,1300,1300,-66.97
1300,1300,1300,1300,-67.29
1300,1300,1300,1300,-67.41
1300,1300,1300,1300,-67.6
1300,1300,1300,1300,-67.66
1300,1300,1300,1300,-67.85
1300,1300,1300,1300,-68.04
1300,1300,1300,1300,-68.22
1300,1300,1300,1300,-68.41
1300,1300,1300,1300,-68.66
1300,1300,1300,1300,-68.97
1300,1300,1300,1300,-69.29
1300,1300,1300,1300,-69.41
1300,1300,1300,1300,-69.54
1300,1300,1300,1300,-69.79
1300,1300,1300,1300,-69.91
1300,1300,1300,1300,-69.91
1300,1300,1300,1300,-70.04
1300,1300,1300,1300,-70.1
1300,1300,1300,1300,-70.16
1300,1300,1300,1300,-70.16
1300,1300,1300,1300,-70.16
1300,1300,1300,1300,-70.04
1300,1300,1300,1300,-69.97
1300,1300,1300,1300,-69.85
1300,1300,1300,1300,-69.66
1300,1300,1300,1300,-69.47
1300,1300,1300,1300,-69.35
1300,1300,1300,1300,-69.22
1300,1300,1300,1300,-69.04
1300,1300,1300,1300,-68.85
1300,1300,1300,1300,-68.54
1300,1300,1300,1300,-68.16
1300,1300,1300,1300,-67.85
1300,1300,1300,1300,-67.66
1300,1300,1300,1300,-67.22
1300,1300,1300,1300,-66.97
1300,1300,1300,1300,-66.66
1300,1300,1300,1300,-66.29
1300,1300,1300,1300,-65.91
1300,1300,1300,1300,-65.54
1300,1300,1300,1300,-65.16
1300,1300,1300,1300,-64.85
1300,1300,1300,1300,-64.72
1300,1300,1300,1300,-64.47
1300,1300,1300,1300,-64.29
1300,1300,1300,1300,-64.1
1300,1300,1300,1300,-64.1
1300,1300,1300,1300,-64.1
1300,1300,1300,1300,-64.41
1300,1300,1300,1300,-64.66
1300,1300,1300,1300,-64.97
1300,1300,1300,1300,-65.41
1300,1300,1300,1300,-65.72
1300,1300,1300,1300,-66.22
1300,1300,1300,1300,-66.6
1300,1300,1300,1300,-66.85
1300,1300,1300,1300,-67.04
1300,1300,1300,1300,-67.35
1300,1300,1300,1300,-67.6
1300,1300,1300,1300,-67.72
1300,1300,1300,1300,-68.1
1300,1300,1300,1300,-68.47
1300,1300,1300,1300,-68.79
1300,1300,1300,1300,-69.16
1300,1300,1300,1300,-69.54
1300,1300,1300,1300,-69.79
1300,1300,1300,1300,-70.04
1300,1300,1300,1300,-70.22
1300,1300,1300,1300,-70.16
1300,1300,1300,1300,-70.1
1300,1300,1300,1300,-69.79
1300,1300,1300,1300,-69.6
1300,1300,1300,1300,-69.41
1300,1300,1300,1300,-69.47
1300,1300,1300,1300,-69.72
1300,1300,1300,1300,-69.79
1300,1300,1300,1300,-69.97
1300,1300,1300,1300,-70.16
1300,1300,1300,1300,-70.1
1300,1300,1300,1300,-70.04
1300,1300,1300,1300,-69.79
1300,1300,1300,1300,-69.41
1300,1300,1300,1300,-69.04
1300,1300,1300,1300,-68.66
1300,1300,1300,1300,-68.29
1300,1300,1300,1300,-67.97
1300,1300,1300,1300,-67.91
1300,1300,1300,1300,-67.79
1300,1300,1300,1300,-67.85
1300,1300,1300,1300,-67.85
1300,1300,1300,1300,-67.91
1300,1300,1300,1300,-67.85
1300,1300,1300,1300,-67.85
1300,1300,1300,1300,-67.72
1300,1300,1300,1300,-67.41
1300,1300,1300,1300,-67.1
1300,1300,1300,1300,-66.66
1300,1300,1300,1300,-66.41
1300,1300,1300,1300,-65.97
1300,1300,1300,1300,-65.66
1300,1300,1300,1300,-65.35
1300,1300,1300,1300,-64.97
1300,1300,1300,1300,-64.79
1300,1300,1300,1300,-64.47
1300,1300,1300,1300,-64.35
1300,1300,1300,1300,-64.1
1300,1300,1300,1300,-63.91
1300,1300,1300,1300,-63.79
1300,1300,1300,1300,-63.54
1300,1300,1300,1300,-63.41
1300,1300,1300,1300,-63.1
1300,1300,1300,1300,-62.97
1300,1300,1300,1300,-62.72
1300,1300,1300,1300,-62.72
1300,1300,1300,1300,-62.79
1300,1300,1300,1300,-62.85
1300,1300,1300,1300,-62.97
1300,1300,1300,1300,-63.22
1300,1300,1300,1300,-63.29
1300,1300,1300,1300,-63.41
1300,1300,1300,1300,-63.54
1300,1300,1300,1300,-63.6
1300,1300,1300,1300,-63.41
1300,1300,1300,1300,-63.35
1300,1300,1300,1300,-63.16
1300,1300,1300,1300,-62.85
1300,1300,1300,1300,-62.41
1300,1300,1300,1300,-61.91
1300,1300,1300,1300,-61.66
1300,1300,1300,1300,-61.29
1300,1300,1300,1300,-60.85
1300,1300,1300,1300,-60.47
1300,1300,1300,1300,-60.1
1300,1300,1300,1300,-59.85
1300,1300,1300,1300,-59.54
1300,1300,1300,1300,-59.41
1300,1300,1300,1300,-59.22
1300,1300,1300,1300,-58.85
1300,1300,1300,1300,-58.54
1300,1300,1300,1300,-58.22
1300,1300,1300,1300,-58.1
1300,1300,1300,1300,-57.85
1300,1300,1300,1300,-57.6
1300,1300,1300,1300,-57.47
1300,1300,1300,1300,-57.35
1300,1300,1300,1300,-57.16
1300,1300,1300,1300,-56.97
