,,,,kp,ki,kd,,,,,,
,,,,0.2,0,1,,,,,,
,,,,,,,,,,,,
time,error,roll,sample time,p,i,d,pid,,p edited,I edited,d edited,pid edited
5474,-64.22,64.22,0.06,-192.66,-0.59,-12.5,-200,,-12.844,0,-8.333333333,-21.17733333
5532,-57.35,57.35,0.06,-172.04,-0.75,177.8,5.01,,-11.47,0,114.5,103.03
5587,-47.22,47.22,0.05,-141.66,-0.88,276.14,133.59,,-9.444,0,202.6,193.156
5645,-32.41,32.41,0.06,-97.22,-0.98,383.08,200,,-6.482,0,246.8333333,240.3513333
5701,-19.59,19.59,0.06,-58.78,-1.03,343.19,200,,-3.918,0,213.6666667,209.7486667
5757,-4.97,4.97,0.06,-14.91,-1.05,391.74,200,,-0.994,0,243.6666667,242.6726667
5811,4.91,-4.91,0.05,14.72,-1.03,274.31,200,,0.982,0,197.6,198.582
5864,12.03,-12.03,0.05,36.09,-1,201.65,200,,2.406,0,142.4,144.806
5919,12.84,-12.84,0.05,38.53,-0.97,22.16,59.72,,2.568,0,16.2,18.768
5972,8.84,-8.84,0.05,26.53,-0.94,-113.21,-87.62,,1.768,0,-80,-78.232
6027,-2.1,2.1,0.05,-6.28,-0.95,-298.3,-200,,-0.42,0,-218.8,-219.22
6081,-15.35,15.35,0.05,-46.04,-0.99,-368.06,-200,,-3.07,0,-265,-268.07
6139,-33.47,33.47,0.06,-100.41,-1.09,-468.75,-200,,-6.694,0,-302,-308.694
6199,-50.22,50.22,0.06,-150.66,-1.24,-418.75,-200,,-10.044,0,-279.1666667,-289.2106667
6258,-63.53,63.53,0.06,-190.6,-1.43,-338.45,-200,,-12.706,0,-221.8333333,-234.5393333
6318,-70.59,70.59,0.06,-211.79,-1.64,-176.56,-200,,-14.118,0,-117.6666667,-131.7846667
6377,-68.53,68.53,0.06,-205.6,-1.84,52.44,-155,,-13.706,0,34.33333333,20.62733333
6434,-59.97,59.97,0.06,-179.91,-2.01,225.33,43.41,,-11.994,0,142.6666667,130.6726667
6491,-43.91,43.91,0.06,-131.72,-2.14,422.7,200,,-8.782,0,267.6666667,258.8846667
6547,-24.22,24.22,0.06,-72.66,-2.2,527.34,200,,-4.844,0,328.1666667,323.3226667
6603,-6.72,6.72,0.06,-20.16,-2.22,468.75,200,,-1.344,0,291.6666667,290.3226667
6658,13.47,-13.47,0.05,40.4,-2.18,550.57,200,,2.694,0,403.8,406.494
6713,28.03,-28.03,0.05,84.09,-2.11,397.16,200,,5.606,0,291.2,296.806
6768,39.09,-39.09,0.05,117.28,-2,301.7,200,,7.818,0,221.2,229.018
6824,41.59,-41.59,0.06,124.78,-1.88,66.96,189.86,,8.318,0,41.66666667,49.98466667
6879,36.47,-36.47,0.05,109.4,-1.78,-139.77,-32.15,,7.294,0,-102.4,-95.106
6936,26.28,-26.28,0.06,78.84,-1.71,-268.09,-190.96,,5.256,0,-169.8333333,-164.5773333
6993,8.9,-8.9,0.06,26.71,-1.68,-457.24,-200,,1.78,0,-289.6666667,-287.8866667
7049,-11.35,11.35,0.06,-34.04,-1.71,-542.41,-200,,-2.27,0,-337.5,-339.77
7107,-30.84,30.84,0.06,-92.53,-1.8,-504.31,-200,,-6.168,0,-324.8333333,-331.0013333
7165,-42.6,42.6,0.06,-127.79,-1.93,-303.88,-200,,-8.52,0,-196,-204.52
7225,-51.66,51.66,0.06,-154.97,-2.08,-226.56,-200,,-10.332,0,-151,-161.332
7283,-54.03,54.03,0.06,-162.1,-2.24,-61.42,-200,,-10.806,0,-39.5,-50.306
7342,-49.53,49.53,0.06,-148.6,-2.39,114.41,-36.58,,-9.906,0,75,65.094
7399,-38.28,38.28,0.06,-114.85,-2.49,296.05,178.71,,-7.656,0,187.5,179.844
7456,-24.97,24.97,0.06,-74.91,-2.57,350.33,200,,-4.994,0,221.8333333,216.8393333
7513,-7.09,7.09,0.06,-21.28,-2.59,470.39,200,,-1.418,0,298,296.582
7567,6.97,-6.97,0.05,20.9,-2.57,390.63,200,,1.394,0,281.2,282.594
7619,20.4,-20.4,0.05,61.22,-2.51,387.62,200,,4.08,0,268.6,272.68
7674,26.47,-26.47,0.05,79.4,-2.44,165.34,200,,5.294,0,121.4,126.694
7730,26.47,-26.47,0.06,79.4,-2.37,0,77.04,,5.294,0,0,5.294
7782,20.28,-20.28,0.05,60.84,-2.31,-178.49,-119.96,,4.056,0,-123.8,-119.744
7839,9.15,-9.15,0.06,27.46,-2.29,-292.76,-200,,1.83,0,-185.5,-183.67
7895,-8.16,8.16,0.06,-24.47,-2.31,-463.73,-200,,-1.632,0,-288.5,-290.132
7950,-26.91,26.91,0.05,-80.72,-2.39,-511.36,-200,,-5.382,0,-375,-380.382
8008,-40.28,40.28,0.06,-120.85,-2.5,-345.91,-200,,-8.056,0,-222.8333333,-230.8893333
8068,-52.72,52.72,0.06,-158.16,-2.66,-310.94,-200,,-10.544,0,-207.3333333,-217.8773333
8127,-59.72,59.72,0.06,-179.16,-2.84,-177.97,-200,,-11.944,0,-116.6666667,-128.6106667
8186,-59.41,59.41,0.06,-178.22,-3.01,7.94,-173.29,,-11.882,0,5.166666667,-6.715333333
8243,-51.16,51.16,0.06,-153.47,-3.16,217.11,60.48,,-10.232,0,137.5,127.268
8299,-39.35,39.35,0.06,-118.04,-3.27,316.41,195.1,,-7.87,0,196.8333333,188.9633333
8356,-21.16,21.16,0.06,-63.47,-3.33,478.62,200,,-4.232,0,303.1666667,298.9346667
8412,-4.78,4.78,0.06,-14.35,-3.34,438.62,200,,-0.956,0,273,272.044
8466,14.78,-14.78,0.05,44.34,-3.3,543.4,200,,2.956,0,391.2,394.156
8521,28.53,-28.53,0.05,85.59,-3.22,375,200,,5.706,0,275,280.706
8577,38.65,-38.65,0.06,115.96,-3.11,271.21,200,,7.73,0,168.6666667,176.3966667
8633,40.47,-40.47,0.06,121.4,-3,48.55,166.95,,8.094,0,30.33333333,38.42733333
8688,34.47,-34.47,0.05,103.4,-2.91,-163.64,-63.14,,6.894,0,-120,-113.106
8744,21.03,-21.03,0.06,63.09,-2.85,-359.93,-200,,4.206,0,-224,-219.794
8802,6.28,-6.28,0.06,18.84,-2.83,-381.47,-200,,1.256,0,-245.8333333,-244.5773333
8857,-13.1,13.1,0.05,-39.29,-2.87,-528.41,-200,,-2.62,0,-387.6,-390.22
8915,-30.91,30.91,0.06,-92.72,-2.96,-460.67,-200,,-6.182,0,-296.8333333,-303.0153333
8974,-42.28,42.28,0.06,-126.85,-3.08,-289.19,-200,,-8.456,0,-189.5,-197.956
9033,-51.91,51.91,0.06,-155.72,-3.23,-244.7,-200,,-10.382,0,-160.5,-170.882
9093,-55.66,55.66,0.06,-166.97,-3.4,-93.75,-200,,-11.132,0,-62.5,-73.632
9150,-51.78,51.78,0.06,-155.35,-3.55,101.97,-56.92,,-10.356,0,64.66666667,54.31066667
9207,-40.91,40.91,0.06,-122.72,-3.66,286.18,159.8,,-8.182,0,181.1666667,172.9846667
9265,-27.78,27.78,0.06,-83.35,-3.74,339.44,200,,-5.556,0,218.8333333,213.2773333
9321,-9.91,9.91,0.06,-29.72,-3.77,478.79,200,,-1.982,0,297.8333333,295.8513333
9375,4.59,-4.59,0.05,13.78,-3.76,402.78,200,,0.918,0,290,290.918
9428,18.53,-18.53,0.05,55.59,-3.71,394.46,200,,3.706,0,278.8,282.506
9483,24.9,-24.9,0.05,74.72,-3.64,173.86,200,,4.98,0,127.4,132.38
9538,25.15,-25.15,0.05,75.47,-3.57,6.82,78.71,,5.03,0,5,10.03
9590,18.97,-18.97,0.05,56.9,-3.52,-178.49,-125.11,,3.794,0,-123.6,-119.806
9648,4.72,-4.72,0.06,14.15,-3.51,-368.53,-200,,0.944,0,-237.5,-236.556
9703,-10.66,10.66,0.05,-31.97,-3.54,-419.32,-200,,-2.132,0,-307.6,-309.732
9761,-29.84,29.84,0.06,-89.53,-3.63,-496.23,-200,,-5.968,0,-319.6666667,-325.6346667
9820,-45.72,45.72,0.06,-137.16,-3.76,-403.6,-200,,-9.144,0,-264.6666667,-273.8106667
9878,-57.35,57.35,0.06,-172.04,-3.93,-300.65,-200,,-11.47,0,-193.8333333,-205.3033333
9937,-62.22,62.22,0.06,-186.66,-4.11,-123.94,-200,,-12.444,0,-81.16666667,-93.61066667
9997,-60.91,60.91,0.06,-182.72,-4.29,32.81,-154.2,,-12.182,0,21.83333333,9.651333333
10054,-51.6,51.6,0.06,-154.79,-4.44,245.07,85.84,,-10.32,0,155.1666667,144.8466667
10112,-36.22,36.22,0.06,-108.66,-4.55,397.63,200,,-7.244,0,256.3333333,249.0893333
10170,-17.59,17.59,0.06,-52.78,-4.6,481.68,200,,-3.518,0,310.5,306.982
10227,-1.1,1.1,0.06,-3.29,-4.6,434.21,200,,-0.22,0,274.8333333,274.6133333
10280,17.84,-17.84,0.05,53.53,-4.55,535.97,200,,3.568,0,378.8,382.368
10337,31.09,-31.09,0.06,93.28,-4.46,348.68,200,,6.218,0,220.8333333,227.0513333
10393,40.59,-40.59,0.06,121.78,-4.35,254.46,200,,8.118,0,158.3333333,166.4513333
10450,41.09,-41.09,0.06,123.28,-4.23,13.16,132.2,,8.218,0,8.333333333,16.55133333
10507,34.03,-34.03,0.06,102.09,-4.14,-185.86,-87.9,,6.806,0,-117.6666667,-110.8606667
10565,18.84,-18.84,0.06,56.53,-4.08,-392.78,-200,,3.768,0,-253.1666667,-249.3986667
10624,-0.78,0.78,0.06,-2.35,-4.08,-498.94,-200,,-0.156,0,-327,-327.156
10679,-17.91,17.91,0.05,-53.72,-4.13,-467.05,-200,,-3.582,0,-342.6,-346.182
10738,-36.41,36.41,0.06,-109.22,-4.24,-470.34,-200,,-7.282,0,-308.3333333,-315.6153333
10799,-49.1,49.1,0.06,-147.29,-4.39,-311.99,-200,,-9.82,0,-211.5,-221.32
10859,-53.78,53.78,0.06,-161.35,-4.55,-117.19,-200,,-10.756,0,-78,-88.756
10919,-49.47,49.47,0.06,-148.41,-4.7,107.81,-45.3,,-9.894,0,71.83333333,61.93933333
10978,-37.35,37.35,0.06,-112.04,-4.81,308.26,191.42,,-7.47,0,202,194.53
11036,-19.16,19.16,0.06,-57.47,-4.87,470.37,200,,-3.832,0,303.1666667,299.3346667
11094,2.16,-2.16,0.06,6.47,-4.86,551.19,200,,0.432,0,355.3333333,355.7653333
11146,19.97,-19.97,0.05,59.9,-4.81,513.82,200,,3.994,0,356.2,360.194
11202,35.09,-35.09,0.06,105.28,-4.71,405.13,200,,7.018,0,252,259.018
11259,46.53,-46.53,0.06,139.59,-4.58,300.99,200,,9.306,0,190.6666667,199.9726667
11317,48.9,-48.9,0.06,146.72,-4.44,61.42,200,,9.78,0,39.5,49.28
11373,43.09,-43.09,0.06,129.28,-4.31,-155.69,-30.73,,8.618,0,-96.83333333,-88.21533333
11431,29.22,-29.22,0.06,87.65,-4.23,-358.84,-200,,5.844,0,-231.1666667,-225.3226667
11490,9.47,-9.47,0.06,28.4,-4.2,-502.12,-200,,1.894,0,-329.1666667,-327.2726667
11545,-12.66,12.66,0.05,-37.97,-4.24,-603.41,-200,,-2.532,0,-442.6,-445.132
11604,-29.34,29.34,0.06,-88.03,-4.32,-424.26,-200,,-5.868,0,-278,-283.868
11664,-44.72,44.72,0.06,-134.16,-4.46,-384.38,-200,,-8.944,0,-256.3333333,-265.2773333
11724,-52.28,52.28,0.06,-156.85,-4.61,-189.06,-200,,-10.456,0,-126,-136.456
11785,-50.78,50.78,0.06,-152.35,-4.77,36.89,-120.23,,-10.156,0,25,14.844
11843,-40.91,40.91,0.06,-122.72,-4.89,255.39,127.78,,-8.182,0,164.5,156.318
11901,-24.41,24.41,0.06,-73.22,-4.96,426.72,200,,-4.882,0,275,270.118
11959,-4.53,4.53,0.06,-13.6,-4.97,514.01,200,,-0.906,0,331.3333333,330.4273333
12014,12.59,-12.59,0.05,37.78,-4.94,467.05,200,,2.518,0,342.4,344.918
12069,30.65,-30.65,0.05,91.97,-4.85,492.61,200,,6.13,0,361.2,367.33
12126,41.09,-41.09,0.06,123.28,-4.74,274.67,200,,8.218,0,174,182.218
12183,46.59,-46.59,0.06,139.78,-4.6,144.74,200,,9.318,0,91.66666667,100.9846667
12240,43.72,-43.72,0.06,131.15,-4.48,-75.66,51.02,,8.744,0,-47.83333333,-39.08933333
12297,35.4,-35.4,0.06,106.21,-4.38,-218.75,-116.91,,7.08,0,-138.6666667,-131.5866667
12356,19.53,-19.53,0.06,58.59,-4.32,-403.6,-200,,3.906,0,-264.5,-260.594
12414,-0.22,0.22,0.06,-0.66,-4.32,-510.78,-200,,-0.044,0,-329.1666667,-329.2106667
12470,-21.09,21.09,0.06,-63.28,-4.38,-559.15,-200,,-4.218,0,-347.8333333,-352.0513333
12529,-38.47,38.47,0.06,-115.41,-4.49,-441.74,-200,,-7.694,0,-289.6666667,-297.3606667
12590,-49.53,49.53,0.06,-148.6,-4.64,-272.03,-200,,-9.906,0,-184.3333333,-194.2393333
12650,-52.03,52.03,0.06,-156.1,-4.8,-62.5,-200,,-10.406,0,-41.66666667,-52.07266667
12709,-45.78,45.78,0.06,-137.35,-4.94,158.9,16.62,,-9.156,0,104.1666667,95.01066667
12767,-34.78,34.78,0.06,-104.35,-5.04,284.48,175.1,,-6.956,0,183.3333333,176.3773333
12825,-16.34,16.34,0.06,-49.03,-5.08,476.83,200,,-3.268,0,307.3333333,304.0653333
12882,4.84,-4.84,0.06,14.53,-5.07,557.57,200,,0.968,0,353,353.968
12936,22.34,-22.34,0.05,67.03,-5.01,486.11,200,,4.468,0,350,354.468
12992,39.97,-39.97,0.06,119.9,-4.9,472.1,200,,7.994,0,293.8333333,301.8273333
13049,49.59,-49.59,0.06,148.78,-4.76,253.29,200,,9.918,0,160.3333333,170.2513333
13107,54.09,-54.09,0.06,162.28,-4.6,116.38,200,,10.818,0,75,85.818
13164,50.4,-50.4,0.06,151.22,-4.46,-97.04,49.72,,10.08,0,-61.5,-51.42
13220,41.9,-41.9,0.06,125.71,-4.34,-227.68,-106.3,,8.38,0,-141.6666667,-133.2866667
13280,26.09,-26.09,0.06,78.28,-4.26,-395.31,-200,,5.218,0,-263.5,-258.282
13337,6.22,-6.22,0.06,18.65,-4.24,-523.03,-200,,1.244,0,-331.1666667,-329.9226667
13393,-14.28,14.28,0.06,-42.85,-4.28,-549.11,-200,,-2.856,0,-341.6666667,-344.5226667
13453,-32.47,32.47,0.06,-97.41,-4.38,-454.69,-200,,-6.494,0,-303.1666667,-309.6606667
13512,-43.72,43.72,0.06,-131.16,-4.51,-286.02,-200,,-8.744,0,-187.5,-196.244
13573,-50.28,50.28,0.06,-150.85,-4.66,-161.37,-200,,-10.056,0,-109.3333333,-119.3893333
13633,-46.91,46.91,0.06,-140.72,-4.8,84.37,-61.15,,-9.382,0,56.16666667,46.78466667
13690,-38.41,38.41,0.06,-115.22,-4.91,223.68,103.55,,-7.682,0,141.6666667,133.9846667
13749,-22.72,22.72,0.06,-68.16,-4.98,398.83,200,,-4.544,0,261.5,256.956
13805,-3.41,3.41,0.06,-10.22,-4.99,517.3,200,,-0.682,0,321.8333333,321.1513333
13860,13.22,-13.22,0.05,39.65,-4.95,453.41,200,,2.644,0,332.6,335.244
13917,31.09,-31.09,0.06,93.28,-4.86,470.39,200,,6.218,0,297.8333333,304.0513333
13973,41.22,-41.22,0.06,123.65,-4.75,271.21,200,,8.244,0,168.8333333,177.0773333
14030,46.28,-46.28,0.06,138.84,-4.62,133.22,200,,9.256,0,84.33333333,93.58933333
14088,42.9,-42.9,0.06,128.72,-4.49,-87.28,36.94,,8.58,0,-56.33333333,-47.75333333
14144,34.03,-34.03,0.06,102.09,-4.4,-237.72,-140.03,,6.806,0,-147.8333333,-141.0273333
14202,17.34,-17.34,0.06,52.03,-4.35,-431.57,-200,,3.468,0,-278.1666667,-274.6986667
14261,-2.85,2.85,0.06,-8.53,-4.35,-513.24,-200,,-0.57,0,-336.5,-337.07
14317,-22.97,22.97,0.06,-68.91,-4.42,-539.06,-200,,-4.594,0,-335.3333333,-339.9273333
14376,-40.41,40.41,0.06,-121.22,-4.54,-443.33,-200,,-8.082,0,-290.6666667,-298.7486667
14437,-53.72,53.72,0.06,-161.16,-4.7,-327.36,-200,,-10.744,0,-221.8333333,-232.5773333
14497,-59.97,59.97,0.06,-179.91,-4.88,-156.25,-200,,-11.994,0,-104.1666667,-116.1606667
14558,-58.28,58.28,0.06,-174.85,-5.06,41.5,-138.41,,-11.656,0,28.16666667,16.51066667
14616,-51.22,51.22,0.06,-153.66,-5.21,182.65,23.78,,-10.244,0,117.6666667,107.4226667
14672,-37.03,37.03,0.06,-111.1,-5.31,380.02,200,,-7.406,0,236.5,229.094
14731,-18.47,18.47,0.06,-55.41,-5.37,471.93,200,,-3.694,0,309.3333333,305.6393333
14788,1.97,-1.97,0.06,5.9,-5.36,537.83,200,,0.394,0,340.6666667,341.0606667
14841,19.22,-19.22,0.05,57.65,-5.31,488.21,200,,3.844,0,345,348.844
14898,34.09,-34.09,0.06,102.28,-5.21,391.45,200,,6.818,0,247.8333333,254.6513333
14955,45.28,-45.28,0.06,135.84,-5.08,294.41,200,,9.056,0,186.5,195.556
15012,47.53,-47.53,0.06,142.59,-4.95,59.21,196.85,,9.506,0,37.5,47.006
15068,42.59,-42.59,0.06,127.78,-4.83,-132.25,-9.31,,8.518,0,-82.33333333,-73.81533333
15125,29.59,-29.59,0.06,88.78,-4.74,-342.11,-200,,5.918,0,-216.6666667,-210.7486667
15183,10.65,-10.65,0.06,31.96,-4.71,-489.76,-200,,2.13,0,-315.6666667,-313.5366667
15242,-11.85,11.85,0.06,-35.54,-4.75,-572.03,-200,,-2.37,0,-375,-377.37
15301,-34.22,34.22,0.06,-102.66,-4.85,-568.86,-200,,-6.844,0,-372.8333333,-379.6773333
15362,-53.28,53.28,0.06,-159.85,-5.01,-468.75,-200,,-10.656,0,-317.6666667,-328.3226667
15422,-65.47,65.47,0.06,-196.41,-5.21,-304.69,-200,,-13.094,0,-203.1666667,-216.2606667
15482,-68.28,68.28,0.06,-204.85,-5.41,-70.31,-200,,-13.656,0,-46.83333333,-60.48933333
15542,-61.78,61.78,0.06,-185.35,-5.6,162.5,-28.45,,-12.356,0,108.3333333,95.97733333
15599,-50.41,50.41,0.06,-151.22,-5.74,299.34,142.38,,-10.082,0,189.5,179.418
15657,-31.22,31.22,0.06,-93.66,-5.83,496.23,200,,-6.244,0,319.8333333,313.5893333
15715,-9.03,9.03,0.06,-27.1,-5.86,573.81,200,,-1.806,0,369.8333333,368.0273333
15770,9.03,-9.03,0.05,27.09,-5.83,492.61,200,,1.806,0,361.2,363.006
15824,27.4,-27.4,0.05,82.22,-5.76,510.42,200,,5.48,0,367.4,372.88
15881,37.15,-37.15,0.06,111.46,-5.65,256.58,200,,7.43,0,162.5,169.93
15937,40.47,-40.47,0.06,121.4,-5.54,88.73,200,,8.094,0,55.33333333,63.42733333
15993,34.47,-34.47,0.06,103.4,-5.44,-160.71,-62.76,,6.894,0,-100,-93.106
16052,23.03,-23.03,0.06,69.09,-5.38,-290.78,-200,,4.606,0,-190.6666667,-186.0606667
16110,3.03,-3.03,0.06,9.09,-5.37,-517.24,-200,,0.606,0,-333.3333333,-332.7273333
16165,-20.22,20.22,0.05,-60.66,-5.42,-634.09,-200,,-4.044,0,-465,-469.044
16225,-42.47,42.47,0.06,-127.41,-5.55,-556.25,-200,,-8.494,0,-370.8333333,-379.3273333
16285,-59.66,59.66,0.06,-178.97,-5.73,-429.69,-200,,-11.932,0,-286.5,-298.432
16346,-67.78,67.78,0.06,-203.35,-5.94,-199.8,-200,,-13.556,0,-135.3333333,-148.8893333
16405,-65.34,65.34,0.06,-196.04,-6.13,61.97,-140.19,,-13.068,0,40.66666667,27.59866667
16463,-55.72,55.72,0.06,-167.16,-6.29,248.92,75.47,,-11.144,0,160.3333333,149.1893333
16521,-38.47,38.47,0.06,-115.41,-6.4,446.12,200,,-7.694,0,287.5,279.806
16579,-17.66,17.66,0.06,-52.97,-6.45,538.25,200,,-3.532,0,346.8333333,343.3013333
16636,3.72,-3.72,0.06,11.15,-6.44,562.5,200,,0.744,0,356.3333333,357.0773333
16691,20.03,-20.03,0.05,60.09,-6.39,444.89,200,,4.006,0,326.2,330.206
16747,33.15,-33.15,0.06,99.46,-6.3,351.56,200,,6.63,0,218.6666667,225.2966667
16802,36.97,-36.97,0.05,110.9,-6.19,103.98,200,,7.394,0,76.4,83.794
16860,32.59,-32.59,0.06,97.78,-6.1,-113.15,-21.47,,6.518,0,-73,-66.482
16917,19.59,-19.59,0.06,58.78,-6.04,-342.11,-200,,3.918,0,-216.6666667,-212.7486667
16975,3.41,-3.41,0.06,10.22,-6.03,-418.64,-200,,0.682,0,-269.6666667,-268.9846667
17032,-19.16,19.16,0.06,-57.47,-6.09,-593.75,-200,,-3.832,0,-376.1666667,-379.9986667
17091,-41.53,41.53,0.06,-124.6,-6.21,-568.86,-200,,-8.306,0,-372.8333333,-381.1393333
17152,-60.16,60.16,0.06,-180.47,-6.39,-457.99,-200,,-12.032,0,-310.5,-322.532
17212,-70.91,70.91,0.06,-212.72,-6.61,-268.75,-200,,-14.182,0,-179.1666667,-193.3486667
17272,-71.97,71.97,0.06,-215.91,-6.82,-26.56,-200,,-14.394,0,-17.66666667,-32.06066667
17331,-63.72,63.72,0.06,-191.16,-7.01,209.75,11.58,,-12.744,0,137.5,124.756
17388,-47.97,47.97,0.06,-143.91,-7.15,414.47,200,,-9.594,0,262.5,252.906
17446,-31.09,31.09,0.06,-93.28,-7.24,436.42,200,,-6.218,0,281.3333333,275.1153333
17504,-9.22,9.22,0.06,-27.66,-7.26,565.73,200,,-1.844,0,364.5,362.656
17559,11.4,-11.4,0.05,34.22,-7.23,562.5,200,,2.28,0,412.4,414.68
17615,25.03,-25.03,0.06,75.09,-7.16,364.96,200,,5.006,0,227.1666667,232.1726667
17672,34.47,-34.47,0.06,103.4,-7.06,248.36,200,,6.894,0,157.3333333,164.2273333
17728,35.72,-35.72,0.06,107.15,-6.96,33.48,133.67,,7.144,0,20.83333333,27.97733333
17784,29.47,-29.47,0.06,88.4,-6.88,-167.41,-85.89,,5.894,0,-104.1666667,-98.27266667
17842,15.84,-15.84,0.06,47.53,-6.84,-352.37,-200,,3.168,0,-227.1666667,-223.9986667
17900,-3.03,3.03,0.06,-9.1,-6.84,-488.15,-200,,-0.606,0,-314.5,-315.106
17956,-20.66,20.66,0.06,-61.97,-6.9,-472.1,-200,,-4.132,0,-293.8333333,-297.9653333
18016,-41.35,41.35,0.06,-124.04,-7.03,-517.19,-200,,-8.27,0,-344.8333333,-353.1033333
18076,-57.72,57.72,0.06,-173.16,-7.2,-409.38,-200,,-11.544,0,-272.8333333,-284.3773333
18136,-66.16,66.16,0.06,-198.47,-7.4,-210.94,-200,,-13.232,0,-140.6666667,-153.8986667
18196,-65.03,65.03,0.06,-195.1,-7.59,28.12,-174.57,,-13.006,0,18.83333333,5.827333333
18254,-55.28,55.28,0.06,-165.85,-7.75,252.16,78.55,,-11.056,0,162.5,151.444
18312,-38.41,38.41,0.06,-115.22,-7.87,436.42,200,,-7.682,0,281.1666667,273.4846667
18370,-21.03,21.03,0.06,-63.1,-7.93,449.35,200,,-4.206,0,289.6666667,285.4606667
18427,1.15,-1.15,0.06,3.47,-7.92,583.88,200,,0.23,0,369.6666667,369.8966667
18481,19.59,-19.59,0.05,58.78,-7.87,512.15,200,,3.918,0,368.8,372.718
18537,38.97,-38.97,0.06,116.9,-7.76,518.97,200,,7.794,0,323,330.794
18593,51.34,-51.34,0.06,154.03,-7.62,331.47,200,,10.268,0,206.1666667,216.4346667
18651,54.84,-54.84,0.06,164.53,-7.46,90.52,200,,10.968,0,58.33333333,69.30133333
18707,50.4,-50.4,0.06,151.22,-7.32,-118.86,25.04,,10.08,0,-74,-63.92
18764,38.4,-38.4,0.06,115.21,-7.21,-315.79,-200,,7.68,0,-200,-192.32
18824,20.22,-20.22,0.06,60.65,-7.15,-454.69,-200,,4.044,0,-303,-298.956
18882,2.41,-2.41,0.06,7.22,-7.14,-460.67,-200,,0.482,0,-296.8333333,-296.3513333
18937,-18.91,18.91,0.05,-56.72,-7.19,-581.25,-200,,-3.782,0,-426.4,-430.182
18996,-36.47,36.47,0.06,-109.41,-7.3,-446.5,-200,,-7.294,0,-292.6666667,-299.9606667
19056,-47.91,47.91,0.06,-143.72,-7.44,-285.94,-200,,-9.582,0,-190.6666667,-200.2486667
19117,-50.78,50.78,0.06,-152.35,-7.6,-70.7,-200,,-10.156,0,-47.83333333,-57.98933333
19176,-45.72,45.72,0.06,-137.16,-7.73,128.71,-16.19,,-9.144,0,84.33333333,75.18933333
19234,-36.35,36.35,0.06,-109.04,-7.84,242.46,125.58,,-7.27,0,156.1666667,148.8966667
19293,-20.66,20.66,0.06,-61.97,-7.9,398.83,200,,-4.132,0,261.5,257.368
19350,-3.03,3.03,0.06,-9.1,-7.91,463.82,200,,-0.606,0,293.8333333,293.2273333
19404,10.72,-10.72,0.05,32.15,-7.88,381.94,200,,2.144,0,275,277.144
19460,23.22,-23.22,0.06,69.65,-7.81,334.82,200,,4.644,0,208.3333333,212.9773333
19516,28.15,-28.15,0.06,84.47,-7.74,132.25,200,,5.63,0,82.16666667,87.79666667
19572,25.65,-25.65,0.06,76.97,-7.66,-66.96,2.34,,5.13,0,-41.66666667,-36.53666667
19627,14.72,-14.72,0.05,44.15,-7.62,-298.3,-200,,2.944,0,-218.6,-215.656
19685,0.4,-0.4,0.06,1.22,-7.62,-370.15,-200,,0.08,0,-238.6666667,-238.5866667
19740,-19.28,19.28,0.05,-57.85,-7.67,-536.93,-200,,-3.856,0,-393.6,-397.456
19799,-38.47,38.47,0.06,-115.41,-7.79,-487.82,-200,,-7.694,0,-319.8333333,-327.5273333
19859,-54.41,54.41,0.06,-163.22,-7.95,-398.44,-200,,-10.882,0,-265.6666667,-276.5486667
19919,-63.66,63.66,0.06,-190.97,-8.14,-231.25,-200,,-12.732,0,-154.1666667,-166.8986667
19980,-64.28,64.28,0.06,-192.85,-8.34,-15.37,-200,,-12.856,0,-10.33333333,-23.18933333
20039,-56.28,56.28,0.06,-168.85,-8.5,203.39,26.04,,-11.256,0,133.3333333,122.0773333
20097,-44.1,44.1,0.06,-132.29,-8.63,315.19,174.28,,-8.82,0,203,194.18
20155,-24.53,24.53,0.06,-73.6,-8.7,505.93,200,,-4.906,0,326.1666667,321.2606667
20212,-2.72,2.72,0.06,-8.16,-8.71,574.01,200,,-0.544,0,363.5,362.956
20265,14.72,-14.72,0.05,44.15,-8.67,493.51,200,,2.944,0,348.8,351.744
20322,31.72,-31.72,0.06,95.15,-8.58,447.37,200,,6.344,0,283.3333333,289.6773333
20378,40.4,-40.4,0.06,121.21,-8.47,232.7,200,,8.08,0,144.6666667,152.7466667
20435,42.97,-42.97,0.06,128.9,-8.35,67.43,187.99,,8.594,0,42.83333333,51.42733333
20492,36.97,-36.97,0.06,110.9,-8.24,-157.89,-55.23,,7.394,0,-100,-92.606
20550,23.34,-23.34,0.06,70.03,-8.17,-352.37,-200,,4.668,0,-227.1666667,-222.4986667
20609,7.91,-7.91,0.06,23.71,-8.15,-392.48,-200,,1.582,0,-257.1666667,-255.5846667
20664,-12.72,12.72,0.05,-38.16,-8.18,-562.5,-200,,-2.544,0,-412.6,-415.144
20723,-32.53,32.53,0.06,-97.6,-8.28,-503.71,-200,,-6.506,0,-330.1666667,-336.6726667
20783,-48.28,48.28,0.06,-144.85,-8.43,-393.75,-200,,-9.656,0,-262.5,-272.156
20843,-56.53,56.53,0.06,-169.6,-8.6,-206.25,-200,,-11.306,0,-137.5,-148.806
