,,,,kp,ki,kd,,,,,,
,,,,0.2,0,1,,,,,,
,,,,,,,,,,,,
time,error,roll,sample time,p,i,d,pid,,p edited,I edited,d edited,pid edited
54437,-9.22,9.22,0.06,-27.66,-37.85,-381.58,-200,,-1.844,0,-241.6666667,-243.5106667
54496,-25.41,25.41,0.06,-76.22,-37.92,-411.55,-200,,-5.082,0,-269.8333333,-274.9153333
54556,-48.41,48.41,0.06,-145.22,-38.07,-575,-200,,-9.682,0,-383.3333333,-393.0153333
54618,-64.78,64.78,0.06,-194.35,-38.27,-396.17,-200,,-12.956,0,-272.8333333,-285.7893333
54679,-77.53,77.53,0.06,-232.6,-38.5,-313.52,-200,,-15.506,0,-212.5,-228.006
54739,-84.59,84.59,0.06,-253.79,-38.76,-176.56,-200,,-16.918,0,-117.6666667,-134.5846667
54801,-84.09,84.09,0.06,-252.29,-39.02,12.1,-200,,-16.818,0,8.333333333,-8.484666667
54860,-75.84,75.84,0.06,-227.54,-39.24,209.75,-57.03,,-15.168,0,137.5,122.332
54920,-62.16,62.16,0.06,-186.47,-39.43,342.19,116.29,,-12.432,0,228,215.568
54979,-45.85,45.85,0.06,-137.54,-39.56,414.72,200,,-9.17,0,271.8333333,262.6633333
55038,-28.66,28.66,0.06,-85.97,-39.65,436.97,200,,-5.732,0,286.5,280.768
55097,-15.35,15.35,0.06,-46.04,-39.69,338.45,200,,-3.07,0,221.8333333,218.7633333
55155,-2.97,2.97,0.06,-8.91,-39.7,320.04,200,,-0.594,0,206.3333333,205.7393333
55209,3.28,-3.28,0.05,9.84,-39.69,173.61,143.76,,0.656,0,125,125.656
55264,2.34,-2.34,0.05,7.03,-39.69,-25.57,-58.23,,0.468,0,-18.8,-18.332
55318,-4.47,4.47,0.05,-13.41,-39.7,-189.24,-200,,-0.894,0,-136.2,-137.094
55376,-19.78,19.78,0.06,-59.35,-39.76,-396.01,-200,,-3.956,0,-255.1666667,-259.1226667
55437,-39.22,39.22,0.06,-117.66,-39.87,-477.97,-200,,-7.844,0,-324,-331.844
55498,-58.47,58.47,0.06,-175.41,-40.05,-473.36,-200,,-11.694,0,-320.8333333,-332.5273333
55560,-75.09,75.09,0.06,-225.29,-40.29,-402.22,-200,,-15.018,0,-277,-292.018
55621,-89.66,89.66,0.06,-268.97,-40.56,-358.09,-200,,-17.932,0,-242.8333333,-260.7653333
55683,-94.22,94.22,0.06,-282.66,-40.85,-110.38,-200,,-18.844,0,-76,-94.844
55744,-90.16,90.16,0.06,-270.47,-41.13,99.9,-200,,-18.032,0,67.66666667,49.63466667
55802,-78.41,78.41,0.06,-235.22,-41.35,303.88,27.3,,-15.682,0,195.8333333,180.1513333
55861,-65.09,65.09,0.06,-195.29,-41.55,338.45,101.62,,-13.018,0,222,208.982
55920,-46.78,46.78,0.06,-140.35,-41.68,465.57,200,,-9.356,0,305.1666667,295.8106667
55980,-28.72,28.72,0.06,-86.16,-41.77,451.56,200,,-5.744,0,301,295.256
56038,-11.91,11.91,0.06,-35.72,-41.8,434.81,200,,-2.382,0,280.1666667,277.7846667
56096,0.72,-0.72,0.06,2.15,-41.8,326.51,200,,0.144,0,210.5,210.644
56151,5.66,-5.66,0.05,16.96,-41.79,134.66,109.84,,1.132,0,98.8,99.932
56205,3.09,-3.09,0.05,9.28,-41.78,-71.18,-103.68,,0.618,0,-51.4,-50.782
56260,-5.16,5.16,0.05,-15.47,-41.79,-225,-200,,-1.032,0,-165,-166.032
56318,-20.22,20.22,0.06,-60.66,-41.85,-389.55,-200,,-4.044,0,-251,-255.044
56379,-37.66,37.66,0.06,-112.97,-41.97,-428.79,-200,,-7.532,0,-290.6666667,-298.1986667
56440,-54.91,54.91,0.06,-164.72,-42.13,-424.18,-200,,-10.982,0,-287.5,-298.482
56502,-70.91,70.91,0.06,-212.72,-42.35,-387.1,-200,,-14.182,0,-266.6666667,-280.8486667
56563,-82.41,82.41,0.06,-247.22,-42.6,-282.79,-200,,-16.482,0,-191.6666667,-208.1486667
56625,-85.47,85.47,0.06,-256.41,-42.87,-74.09,-200,,-17.094,0,-51,-68.094
56685,-78.66,78.66,0.06,-235.97,-43.11,170.31,-108.77,,-15.732,0,113.5,97.768
56745,-64.78,64.78,0.06,-194.35,-43.3,346.88,109.23,,-12.956,0,231.3333333,218.3773333
56804,-50.16,50.16,0.06,-150.47,-43.45,371.82,177.9,,-10.032,0,243.6666667,233.6346667
56863,-31.59,31.59,0.06,-94.78,-43.54,471.93,200,,-6.318,0,309.5,303.182
56922,-14.28,14.28,0.06,-42.85,-43.58,440.15,200,,-2.856,0,288.5,285.644
56980,-0.22,0.22,0.06,-0.66,-43.58,363.69,200,,-0.044,0,234.3333333,234.2893333
57035,7.22,-7.22,0.05,21.65,-43.56,202.84,180.93,,1.444,0,148.8,150.244
57091,8.78,-8.78,0.06,26.34,-43.54,41.85,24.65,,1.756,0,26,27.756
57144,3.97,-3.97,0.05,11.9,-43.53,-136.2,-167.83,,0.794,0,-96.2,-95.406
