#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1329.72,1343.46,1336.54,1350.28
1484.46,1265.76,1414.24,1195.54
1344.51,1340.48,1339.52,1335.49
1343.59,1340.73,1339.27,1336.41
1342.48,1342.22,1337.78,1337.52
1333.43,1347.71,1332.29,1346.57
1329.91,1348.75,1331.25,1350.09
1322.94,1352.98,1327.02,1357.06
1324.09,1354.20,1325.80,1355.91
1323.54,1354.58,1325.42,1356.46
1323.32,1359.86,1320.14,1356.68
1328.51,1358.97,1321.03,1351.49
1335.19,1366.63,1313.37,1344.81
1342.38,1362.92,1317.08,1337.62
1352.23,1364.28,1315.72,1327.77
1355.71,1361.04,1318.96,1324.29
1359.81,1357.42,1322.58,1320.19
1368.51,1358.18,1321.82,1311.49
1365.97,1353.44,1326.56,1314.03
1374.26,1353.05,1326.95,1305.74
1370.55,1351.23,1328.77,1309.45
1371.00,1349.93,1330.07,1309.00
1373.95,1347.97,1332.03,1306.05
1367.94,1340.46,1339.54,1312.06
1347.73,1333.00,1347.00,1332.27
1336.42,1336.15,1343.85,1343.58
1321.56,1334.04,1345.96,1358.44
1319.29,1341.13,1338.87,1360.71
1313.53,1338.97,1341.03,1366.47
1297.81,1334.95,1345.05,1382.19
1308.90,1338.09,1341.91,1371.10
1298.80,1342.80,1337.20,1381.20
1318.64,1341.44,1338.56,1361.36
1337.09,1345.66,1334.34,1342.91
1349.10,1349.70,1330.30,1330.90
1353.39,1354.65,1325.35,1326.61
1372.92,1352.73,1327.27,1307.08
1370.06,1351.14,1328.86,1309.94
1377.02,1350.35,1329.65,1302.98
1384.31,1352.43,1327.57,1295.69
1376.05,1353.17,1326.83,1303.95
1364.43,1351.35,1328.65,1315.57
1348.99,1351.73,1328.27,1331.01
1338.13,1351.26,1328.74,1341.87
1329.08,1346.36,1333.64,1350.92
1322.42,1346.22,1333.78,1357.58
1306.26,1346.09,1333.91,1373.75
1311.48,1344.09,1335.91,1368.52
1295.24,1345.02,1334.98,1384.76
1307.84,1345.54,1334.46,1372.16
1301.30,1346.64,1333.36,1378.70
1330.64,1347.27,1332.73,1349.36
1343.44,1347.27,1332.73,1336.56
1355.99,1351.72,1328.28,1324.01
