#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
1345.27,13?1328.44,1343.90,1336.10,1351.56,0.00
1372.04,1298.28,1316.81,1372.87,-28.44
1374.57,1294.67,1314.47,1376.29,-29.56
1372.66,1296.44,1316.65,1374.24,-30.31
1373.08,1294.91,1316.33,1375.69,-31.12
1374.51,1292.14,1317.32,1376.02,-31.94
1374.04,1292.41,1317.00,1376.56,-32.69
1376.33,1290.91,1316.05,1376.70,-33.50
1378.46,1288.55,1314.40,1378.59,-34.44
1376.46,1289.34,1316.67,1377.54,-35.13
1378.22,1288.37,1314.20,1379.20,-35.94
1379.71,1287.75,1314.16,1378.37,-36.69
1379.79,1287.60,1314.35,1378.26,-37.38
1380.16,1288.22,1313.35,1378.27,-38.00
1379.06,1289.31,1314.66,1376.97,-38.44
1379.06,1288.24,1314.94,1377.76,-38.88
1378.53,1288.65,1315.81,1377.00,-39.19
1378.82,1289.37,1314.65,1377.16,-39.50
1378.12,1288.99,1314.46,1378.42,-39.81
1380.66,1288.53,1314.24,1376.56,-40.13
1378.87,1289.32,1313.01,1378.80,-40.44
1380.88,1287.31,1312.10,1379.71,-40.88
1380.74,1284.23,1309.09,1385.94,-41.63
1382.25,1285.66,1306.31,1385.78,-42.38
1381.82,1283.89,1304.20,1390.09,-43.25
1384.90,1283.91,1301.86,1389.34,-44.19
1386.69,1283.28,1299.70,1390.34,-45.19
1388.23,1281.97,1296.59,1393.21,-46.31
1390.00,1283.56,1293.40,1393.04,-47.44
1390.61,1281.34,1294.29,1393.76,-48.50
1395.69,1276.47,1291.09,1396.76,-49.94
1394.31,1274.90,1293.35,1397.44,-51.19
1396.16,1271.95,1294.69,1397.21,-52.38
1394.87,1272.09,1293.96,1399.08,-53.50
1395.78,1271.00,1294.12,1399.10,-54.56
1396.33,1270.21,1292.59,1400.86,-55.63
1398.64,1269.92,1290.28,1401.16,-56.75
1396.51,1272.05,1292.41,1399.03,-57.50
1398.65,1273.14,1291.35,1396.87,-58.19
1398.35,1273.71,1291.73,1396.20,-58.75
1399.20,1272.11,1292.10,1396.59,-59.31
1398.65,1271.72,1292.79,1396.84,-59.81
1397.63,1269.61,1294.00,1398.76,-60.31
1398.87,1266.97,1291.92,1402.25,-61.00
1400.25,1267.61,1290.58,1401.56,-61.69
1400.44,1266.20,1291.61,1401.75,-62.31
1401.97,1265.61,1290.22,1402.21,-63.00
