1228.96,1171.04
1234.83,1165.17
1236.5,1163.5
1236.27,1163.73
1232.14,1167.86
1235.84,1164.16
1235.67,1164.33
1235.77,1164.23
1229.94,1170.06
1231.76,1168.24
1230.34,1169.66
1225.94,1174.06
1225.54,1174.46
1222.44,1177.56
1220.43,1179.57
1213.77,1186.23
1210.32,1189.68
1218.65,1181.35
1207.26,1192.74
1202.31,1197.69
1198.73,1201.27
1208.98,1191.02
1193.17,1206.83
1190.97,1209.03
1190.66,1209.34
1199.75,1200.25
1184.48,1215.52
1185.26,1214.74
1180.36,1219.64
1191.73,1208.27
1180.01,1219.99
1178.3,1221.7
1179.16,1220.84
1175.9,1224.1
1187.15,1212.85
1177.81,1222.19
1176.31,1223.69
1179.34,1220.66
1185.46,1214.54
1178.57,1221.43
1184.57,1215.43
1186.63,1213.37
1188.06,1211.94
1187.85,1212.15
1193.63,1206.37
1194.47,1205.53
1194.84,1205.16
1199.51,1200.49
1204.79,1195.21
1205.92,1194.08
1202.99,1197.01
1214.9,1185.1
1213.07,1186.93
1219.62,1180.38
1221.74,1178.26
1214.54,1185.46
1224.75,1175.25
1231.04,1168.96
1234.76,1165.24
1219.82,1180.18
1238.02,1161.98
1235.78,1164.22
1239.09,1160.91
1227.68,1172.32
1242.32,1157.68
1241.05,1158.95
1240.15,1159.85
1234.22,1165.78
1241.29,1158.71
1240.59,1159.41
1241.03,1158.97
1236.24,1163.76
1235.89,1164.11
1236.12,1163.88
1236.76,1163.24
1234.62,1165.38
1231.73,1168.27
1227.16,1172.84
1228.68,1171.32
1225.22,1174.78
1224.86,1175.14
1218.68,1181.32
1219.34,1180.66
1214.06,1185.94
1216.99,1183.01
1209.98,1190.02
1205.31,1194.69
1203.82,1196.18
1209.37,1190.63
1197.78,1202.22
1195.91,1204.09
1192.82,1207.18
1197.33,1202.67
1193.34,1206.66
1186.24,1213.76
1185.55,1214.45
1195.01,1204.99
1185.16,1214.84
1182.56,1217.44
1179.22,1220.78
1182.54,1217.46
1191.67,1208.33
1182.37,1217.63
1178.5,1221.5
1185.54,1214.46
1187.69,1212.31
1183.47,1216.53
1187.7,1212.3
1187.2,1212.8
1192.75,1207.25
1189.72,1210.28
1194.09,1205.91
1196.94,1203.06
1196.18,1203.82
1200.8,1199.2
1206.62,1193.38
1208.48,1191.52
1202.03,1197.97
1215.62,1184.38
1215.26,1184.74
