#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
1201.43,1192.95,1207.05,1198.57,3.23,-3.23,-3.91,3.91,-4.24,2.81
1203.08,1191.80,1208.20,1196.92,2.73,-2.73,-5.66,5.66,-5.64,2.56
1205.85,1190.97,1209.03,1194.15,1.41,-1.41,-7.91,7.91,-7.44,1.59
1209.28,1190.70,1209.30,1190.72,-0.53,0.53,-10.22,10.22,-9.29,0.01
1213.03,1191.15,1208.85,1186.97,-3.15,3.15,-12.28,12.28,-10.94,-2.09
1216.78,1192.30,1207.70,1183.22,-6.21,6.21,-13.91,13.91,-12.24,-4.54
1220.28,1193.60,1206.40,1179.72,-9.21,9.21,-15.28,15.28,-13.34,-6.94
1222.93,1194.05,1205.95,1177.07,-11.15,11.15,-16.66,16.66,-14.44,-8.49
1224.63,1193.15,1206.85,1175.38,-11.65,11.65,-18.28,18.28,-15.74,-8.89
1224.77,1191.80,1208.20,1175.23,-10.90,10.90,-19.22,19.22,-16.49,-8.29
1223.47,1191.40,1208.60,1176.53,-9.84,9.84,-18.66,18.66,-16.04,-7.44
1221.27,1192.20,1207.80,1178.73,-8.96,8.96,-16.78,16.78,-14.53,-6.74
1218.27,1193.60,1206.40,1181.73,-7.96,7.96,-14.03,14.03,-12.33,-5.94
1214.12,1194.75,1205.25,1185.88,-6.09,6.09,-10.72,10.72,-9.68,-4.44
1210.37,1195.10,1204.90,1189.63,-3.96,3.96,-8.16,8.16,-7.63,-2.74
1206.96,1195.00,1205.00,1193.04,-1.65,1.65,-6.09,6.09,-5.98,-0.98
1204.10,1194.73,1205.27,1195.90,0.29,-0.29,-4.47,4.47,-4.68,0.59
1202.36,1194.19,1205.81,1197.64,1.60,-1.60,-3.72,3.72,-4.08,1.73
1201.27,1193.50,1206.50,1198.73,2.54,-2.54,-3.47,3.47,-3.89,2.62
1201.41,1192.54,1207.46,1198.59,2.85,-2.85,-4.16,4.16,-4.44,3.03
1202.67,1191.70,1208.30,1197.33,2.41,-2.41,-5.47,5.47,-5.49,2.81
1204.96,1191.18,1208.82,1195.04,1.22,-1.22,-7.22,7.22,-6.89,1.93
1208.04,1191.06,1208.94,1191.96,-0.59,0.59,-9.22,9.22,-8.49,0.45
1211.24,1191.57,1208.43,1188.76,-2.71,2.71,-10.91,10.91,-9.84,-1.41
1215.44,1192.47,1207.53,1184.56,-5.90,5.90,-12.97,12.97,-11.49,-3.96
1219.04,1193.17,1206.83,1180.96,-8.59,8.59,-14.78,14.78,-12.94,-6.11
1221.99,1193.22,1206.78,1178.01,-10.46,10.46,-16.59,16.59,-14.39,-7.60
1224.04,1192.17,1207.83,1175.96,-11.09,11.09,-18.53,18.53,-15.94,-8.10
1224.54,1191.07,1208.93,1175.46,-10.71,10.71,-19.53,19.53,-16.74,-7.80
1223.89,1190.92,1209.08,1176.11,-10.21,10.21,-19.22,19.22,-16.49,-7.40
1221.74,1191.87,1208.13,1178.26,-9.46,9.46,-17.28,17.28,-14.93,-6.80
1218.89,1192.92,1207.08,1181.11,-8.34,8.34,-14.84,14.84,-12.98,-5.90
1215.49,1193.62,1206.38,1184.51,-6.65,6.65,-12.28,12.28,-10.93,-4.55
1211.33,1193.97,1206.03,1188.67,-4.28,4.28,-9.47,9.47,-8.68,-2.65
1208.17,1194.30,1205.70,1191.83,-2.34,2.34,-7.28,7.28,-6.93,-1.24
1205.45,1194.18,1205.82,1194.55,-0.53,0.53,-5.66,5.66,-5.63,0.18
1203.66,1193.99,1206.01,1196.34,0.66,-0.66,-4.66,4.66,-4.83,1.17
1202.37,1193.50,1206.50,1197.63,1.66,-1.66,-4.16,4.16,-4.44,2.07
1202.21,1193.04,1206.96,1197.79,1.91,-1.91,-4.34,4.34,-4.59,2.37
1203.07,1192.30,1207.70,1196.93,1.72,-1.72,-5.34,5.34,-5.39,2.32
1204.98,1191.80,1208.20,1195.02,0.79,-0.79,-6.84,6.84,-6.59,1.61
1207.77,1191.60,1208.40,1192.23,-0.78,0.78,-8.72,8.72,-8.09,0.32
1210.66,1191.79,1208.21,1189.34,-2.53,2.53,-10.41,10.41,-9.44,-1.23
1214.71,1192.24,1207.76,1185.29,-5.34,5.34,-12.66,12.66,-11.24,-3.48
1218.06,1192.59,1207.41,1181.94,-7.65,7.65,-14.53,14.53,-12.74,-5.33
1221.16,1192.79,1207.21,1178.84,-9.71,9.71,-16.34,16.34,-14.19,-6.98
1223.31,1192.24,1207.76,1176.69,-10.71,10.71,-18.03,18.03,-15.54,-7.78
1224.51,1191.34,1208.66,1175.49,-10.90,10.90,-19.34,19.34,-16.59,-7.92
1224.26,1190.99,1209.01,1175.74,-10.52,10.52,-19.41,19.41,-16.64,-7.62
1222.56,1191.59,1208.41,1177.44,-9.84,9.84,-17.97,17.97,-15.48,-7.07
1219.91,1192.54,1207.46,1180.09,-8.77,8.77,-15.72,15.72,-13.68,-6.22
1216.41,1193.24,1206.76,1183.59,-7.03,7.03,-13.09,13.09,-11.58,-4.82
1212.61,1193.54,1206.46,1187.39,-4.84,4.84,-10.53,10.53,-9.53,-3.07
1208.54,1193.88,1206.12,1191.46,-2.34,2.34,-7.78,7.78,-7.33,-1.21
1205.42,1193.95,1206.05,1194.58,-0.40,0.40,-5.78,5.78,-5.73,0.32
1203.21,1193.84,1206.16,1196.79,0.97,-0.97,-4.47,4.47,-4.68,1.47
1201.65,1193.48,1206.52,1198.35,2.04,-2.04,-3.72,3.72,-4.08,2.43
1201.05,1192.78,1207.22,1198.95,2.66,-2.66,-3.78,3.78,-4.14,3.09
1201.76,1192.09,1207.91,1198.24,2.48,-2.48,-4.66,4.66,-4.84,3.07
1203.41,1191.24,1208.76,1196.59,1.85,-1.85,-6.22,6.22,-6.09,2.68
1205.77,1190.60,1209.40,1194.23,0.72,-0.72,-8.09,8.09,-7.59,1.82
1207.06,1190.29,1209.71,1192.94,0.10,-0.10,-9.09,9.09,-8.39,1.32
1207.22,1190.65,1209.35,1192.78,-0.21,0.21,-8.97,8.97,-8.29,1.06
1206.58,1191.31,1208.69,1193.42,-0.21,0.21,-8.16,8.16,-7.63,1.05
1205.54,1192.27,1207.73,1194.46,-0.15,0.15,-6.91,6.91,-6.63,1.09
1203.36,1193.40,1206.60,1196.64,0.47,-0.47,-4.84,4.84,-4.98,1.62
1200.72,1194.17,1205.83,1199.28,1.54,-1.54,-2.53,2.53,-3.27,2.56
1198.53,1194.58,1205.42,1201.47,2.48,-2.48,-0.84,0.84,-1.97,3.45
1195.98,1194.83,1205.17,1204.02,3.91,-3.91,0.84,-0.84,-0.58,4.60
1193.04,1194.77,1205.23,1206.96,5.79,-5.79,2.47,-2.47,0.86,6.10
1190.14,1193.67,1206.33,1209.86,8.29,-8.29,3.59,-3.59,1.76,8.10
1187.19,1191.81,1208.19,1212.81,11.29,-11.29,4.28,-4.28,2.31,10.50
1183.94,1189.16,1210.84,1216.06,14.98,-14.98,4.66,-4.66,2.61,13.45
