,,,,kp,3,,kd,1.5
,,,,ki,0.05,,,
,,,,p,i,d,pid,
14.47,-14.47,0.02,,43.41,,,,
11.9,-11.9,0.02,,35.7,,,,
8.78,-8.78,0.02,,26.34,,,,
5.41,-5.41,0.02,,16.23,,,,
1.65,-1.65,0.02,,4.95,,,,
-2.22,2.22,0.02,,-6.66,,,,
-4.22,4.22,0.02,,-12.66,,,,
-8.28,8.28,0.02,,-24.84,,,,
-12.16,12.16,0.02,,-36.48,,,,
-15.91,15.91,0.02,,-47.73,,,,
-19.28,19.28,0.02,,-57.84,,,,
-22.28,22.28,0.02,,-66.84,,,,
-24.72,24.72,0.02,,-74.16,,,,
-26.66,26.66,0.02,,-79.98,,,,
-28.34,28.34,0.02,,-85.02,,,,
-29.47,29.47,0.02,,-88.41,,,,
-30.22,30.22,0.02,,-90.66,,,,
-30.66,30.66,0.02,,-91.98,,,,
-30.66,30.66,0.02,,-91.98,,,,
-29.84,29.84,0.02,,-89.52,,,,
-28.41,28.41,0.02,,-85.23,,,,
-26.41,26.41,0.02,,-79.23,,,,
-23.72,23.72,0.02,,-71.16,,,,
-22.22,22.22,0.02,,-66.66,,,,
-18.78,18.78,0.02,,-56.34,,,,
-15.1,15.1,0.02,,-45.3,,,,
-11.28,11.28,0.02,,-33.84,,,,
-7.16,7.16,0.02,,-21.48,,,,
-2.91,2.91,0.02,,-8.73,,,,
1.15,-1.15,0.02,,3.45,,,,
5.34,-5.34,0.02,,16.02,,,,
7.22,-7.22,0.02,,21.66,,,,
10.84,-10.84,0.02,,32.52,,,,
14.03,-14.03,0.02,,42.09,,,,
16.65,-16.65,0.02,,49.95,,,,
18.65,-18.65,0.02,,55.95,,,,
19.97,-19.97,0.02,,59.91,,,,
20.59,-20.59,0.02,,61.77,,,,
20.4,-20.4,0.02,,61.2,,,,
19.65,-19.65,0.02,,58.95,,,,
18.15,-18.15,0.02,,54.45,,,,
15.72,-15.72,0.02,,47.16,,,,
12.53,-12.53,0.02,,37.59,,,,
8.9,-8.9,0.02,,26.7,,,,
5.03,-5.03,0.02,,15.09,,,,
2.78,-2.78,0.02,,8.34,,,,
-1.41,1.41,0.02,,-4.23,,,,
-5.66,5.66,0.02,,-16.98,,,,
-9.91,9.91,0.02,,-29.73,,,,
-11.97,11.97,0.02,,-35.91,,,,
-15.85,15.85,0.02,,-47.55,,,,
-19.28,19.28,0.02,,-57.84,,,,
-22.22,22.22,0.02,,-66.66,,,,
-24.66,24.66,0.02,,-73.98,,,,
-26.41,26.41,0.02,,-79.23,,,,
-27.53,27.53,0.02,,-82.59,,,,
-28.28,28.28,0.02,,-84.84,,,,
-28.59,28.59,0.02,,-85.77,,,,
-28.53,28.53,0.02,,-85.59,,,,
-28.16,28.16,0.02,,-84.48,,,,
-27.47,27.47,0.02,,-82.41,,,,
-26.34,26.34,0.02,,-79.02,,,,
-24.78,24.78,0.02,,-74.34,,,,
-22.84,22.84,0.02,,-68.52,,,,
-20.22,20.22,0.02,,-60.66,,,,
-17.09,17.09,0.02,,-51.27,,,,
-13.72,13.72,0.02,,-41.16,,,,
-9.97,9.97,0.02,,-29.91,,,,
-6.16,6.16,0.02,,-18.48,,,,
-4.41,4.41,0.02,,-13.23,,,,
-0.66,0.66,0.02,,-1.98,,,,
2.91,-2.91,0.02,,8.73,,,,
6.34,-6.34,0.02,,19.02,,,,
7.97,-7.97,0.02,,23.91,,,,
10.97,-10.97,0.02,,32.91,,,,
13.4,-13.4,0.02,,40.2,,,,
15.28,-15.28,0.02,,45.84,,,,
16.59,-16.59,0.02,,49.77,,,,
17.22,-17.22,0.02,,51.66,,,,
17.09,-17.09,0.02,,51.27,,,,
16.4,-16.4,0.02,,49.2,,,,
15.03,-15.03,0.02,,45.09,,,,
13.15,-13.15,0.02,,39.45,,,,
10.72,-10.72,0.02,,32.16,,,,
7.78,-7.78,0.02,,23.34,,,,
4.41,-4.41,0.02,,13.23,,,,
2.72,-2.72,0.02,,8.16,,,,
-1.1,1.1,0.02,,-3.3,,,,
-5.03,5.03,0.02,,-15.09,,,,
-8.97,8.97,0.02,,-26.91,,,,
-10.78,10.78,0.02,,-32.34,,,,
-14.6,14.6,0.02,,-43.8,,,,
-17.97,17.97,0.02,,-53.91,,,,
-21.03,21.03,0.02,,-63.09,,,,
-23.66,23.66,0.02,,-70.98,,,,
-25.72,25.72,0.02,,-77.16,,,,
-27.53,27.53,0.02,,-82.59,,,,
-29.03,29.03,0.02,,-87.09,,,,
-30.09,30.09,0.02,,-90.27,,,,
-30.72,30.72,0.02,,-92.16,,,,
-31.03,31.03,0.02,,-93.09,,,,
-30.84,30.84,0.02,,-92.52,,,,
-30.16,30.16,0.02,,-90.48,,,,
-28.66,28.66,0.02,,-85.98,,,,
-26.59,26.59,0.02,,-79.77,,,,
-24.16,24.16,0.02,,-72.48,,,,
-21.16,21.16,0.02,,-63.48,,,,
-17.72,17.72,0.02,,-53.16,,,,
-14.16,14.16,0.02,,-42.48,,,,
-10.22,10.22,0.02,,-30.66,,,,
-5.97,5.97,0.02,,-17.91,,,,
-1.66,1.66,0.02,,-4.98,,,,
0.47,-0.47,0.02,,1.41,,,,
4.84,-4.84,0.02,,14.52,,,,
9.03,-9.03,0.02,,27.09,,,,
12.9,-12.9,0.02,,38.7,,,,
16.47,-16.47,0.02,,49.41,,,,
19.15,-19.15,0.02,,57.45,,,,
20.4,-20.4,0.02,,61.2,,,,
22.34,-22.34,0.02,,67.02,,,,
23.59,-23.59,0.02,,70.77,,,,
24.28,-24.28,0.02,,72.84,,,,
24.09,-24.09,0.02,,72.27,,,,
23.4,-23.4,0.02,,70.2,,,,
21.9,-21.9,0.02,,65.7,,,,
19.72,-19.72,0.02,,59.16,,,,
16.9,-16.9,0.02,,50.7,,,,
13.59,-13.59,0.02,,40.77,,,,
9.84,-9.84,0.02,,29.52,,,,
5.78,-5.78,0.02,,17.34,,,,
1.47,-1.47,0.02,,4.41,,,,
-0.91,0.91,0.02,,-2.73,,,,
-5.34,5.34,0.02,,-16.02,,,,
-9.91,9.91,0.02,,-29.73,,,,
-14.22,14.22,0.02,,-42.66,,,,
-18.34,18.34,0.02,,-55.02,,,,
-22.09,22.09,0.02,,-66.27,,,,
-25.28,25.28,0.02,,-75.84,,,,
-27.97,27.97,0.02,,-83.91,,,,
-30.41,30.41,0.02,,-91.23,,,,
-31.41,31.41,0.02,,-94.23,,,,
-33.85,33.85,0.02,,-101.55,,,,
-34.47,34.47,0.02,,-103.41,,,,
-35.41,35.41,0.02,,-106.23,,,,
-35.85,35.85,0.02,,-107.55,,,,
-35.85,35.85,0.02,,-107.55,,,,
-35.16,35.16,0.02,,-105.48,,,,
-33.78,33.78,0.02,,-101.34,,,,
-31.66,31.66,0.02,,-94.98,,,,
-29.09,29.09,0.02,,-87.27,,,,
-26.03,26.03,0.02,,-78.09,,,,
-22.47,22.47,0.02,,-67.41,,,,
-18.66,18.66,0.02,,-55.98,,,,
-14.6,14.6,0.02,,-43.8,,,,
-10.28,10.28,0.02,,-30.84,,,,
-5.66,5.66,0.02,,-16.98,,,,
-0.91,0.91,0.02,,-2.73,,,,
3.72,-3.72,0.02,,11.16,,,,
5.97,-5.97,0.02,,17.91,,,,
10.28,-10.28,0.02,,30.84,,,,
14.15,-14.15,0.02,,42.45,,,,
17.65,-17.65,0.02,,52.95,,,,
20.4,-20.4,0.02,,61.2,,,,
22.65,-22.65,0.02,,67.95,,,,
24.22,-24.22,0.02,,72.66,,,,
25.03,-25.03,0.02,,75.09,,,,
25.15,-25.15,0.02,,75.45,,,,
24.53,-24.53,0.02,,73.59,,,,
23.03,-23.03,0.02,,69.09,,,,
20.78,-20.78,0.02,,62.34,,,,
17.78,-17.78,0.02,,53.34,,,,
14.4,-14.4,0.02,,43.2,,,,
10.47,-10.47,0.02,,31.41,,,,
5.97,-5.97,0.02,,17.91,,,,
3.66,-3.66,0.02,,10.98,,,,
-1.16,1.16,0.02,,-3.48,,,,
-6.22,6.22,0.02,,-18.66,,,,
-11.41,11.41,0.02,,-34.23,,,,
-16.22,16.22,0.02,,-48.66,,,,
-20.66,20.66,0.02,,-61.98,,,,
-24.66,24.66,0.02,,-73.98,,,,
-28.03,28.03,0.02,,-84.09,,,,
-30.84,30.84,0.02,,-92.52,,,,
-33.41,33.41,0.02,,-100.23,,,,
-35.28,35.28,0.02,,-105.84,,,,
-36.03,36.03,0.02,,-108.09,,,,
-37.28,37.28,0.02,,-111.84,,,,
-38.16,38.16,0.02,,-114.48,,,,
-38.53,38.53,0.02,,-115.59,,,,
-38.16,38.16,0.02,,-114.48,,,,
-37.28,37.28,0.02,,-111.84,,,,
-35.72,35.72,0.02,,-107.16,,,,
-33.35,33.35,0.02,,-100.05,,,,
-30.16,30.16,0.02,,-90.48,,,,
-26.59,26.59,0.02,,-79.77,,,,
-22.66,22.66,0.02,,-67.98,,,,
-18.28,18.28,0.02,,-54.84,,,,
-13.41,13.41,0.02,,-40.23,,,,
-8.28,8.28,0.02,,-24.84,,,,
-3.1,3.1,0.02,,-9.3,,,,
2.16,-2.16,0.02,,6.48,,,,
4.91,-4.91,0.02,,14.73,,,,
10.22,-10.22,0.02,,30.66,,,,
15.47,-15.47,0.02,,46.41,,,,
20.09,-20.09,0.02,,60.27,,,,
24.4,-24.4,0.02,,73.2,,,,
28.15,-28.15,0.02,,84.45,,,,
31.09,-31.09,0.02,,93.27,,,,
33.53,-33.53,0.02,,100.59,,,,
34.97,-34.97,0.02,,104.91,,,,
35.72,-35.72,0.02,,107.16,,,,
35.59,-35.59,0.02,,106.77,,,,
34.59,-34.59,0.02,,103.77,,,,
32.72,-32.72,0.02,,98.16,,,,
30.09,-30.09,0.02,,90.27,,,,
26.84,-26.84,0.02,,80.52,,,,
22.97,-22.97,0.02,,68.91,,,,
18.72,-18.72,0.02,,56.16,,,,
14.03,-14.03,0.02,,42.09,,,,
8.9,-8.9,0.02,,26.7,,,,
6.41,-6.41,0.02,,19.23,,,,
1.15,-1.15,0.02,,3.45,,,,
-3.91,3.91,0.02,,-11.73,,,,
-8.91,8.91,0.02,,-26.73,,,,
-11.28,11.28,0.02,,-33.84,,,,
-15.6,15.6,0.02,,-46.8,,,,
-19.47,19.47,0.02,,-58.41,,,,
-22.78,22.78,0.02,,-68.34,,,,
-25.53,25.53,0.02,,-76.59,,,,
-27.59,27.59,0.02,,-82.77,,,,
-29.59,29.59,0.02,,-88.77,,,,
-30.72,30.72,0.02,,-92.16,,,,
-31.59,31.59,0.02,,-94.77,,,,
-31.97,31.97,0.02,,-95.91,,,,
-31.97,31.97,0.02,,-95.91,,,,
-31.47,31.47,0.02,,-94.41,,,,
-30.16,30.16,0.02,,-90.48,,,,
-28.22,28.22,0.02,,-84.66,,,,
-25.59,25.59,0.02,,-76.77,,,,
-22.41,22.41,0.02,,-67.23,,,,
-18.72,18.72,0.02,,-56.16,,,,
-14.85,14.85,0.02,,-44.55,,,,
-10.78,10.78,0.02,,-32.34,,,,
-6.59,6.59,0.02,,-19.77,,,,
-2.47,2.47,0.02,,-7.41,,,,
-0.47,0.47,0.02,,-1.41,,,,
3.47,-3.47,0.02,,10.41,,,,
6.97,-6.97,0.02,,20.91,,,,
9.9,-9.9,0.02,,29.7,,,,
11.09,-11.09,0.02,,33.27,,,,
12.9,-12.9,0.02,,38.7,,,,
13.84,-13.84,0.02,,41.52,,,,
13.84,-13.84,0.02,,41.52,,,,
12.97,-12.97,0.02,,38.91,,,,
11.28,-11.28,0.02,,33.84,,,,
9.03,-9.03,0.02,,27.09,,,,
6.09,-6.09,0.02,,18.27,,,,
2.72,-2.72,0.02,,8.16,,,,
0.78,-0.78,0.02,,2.34,,,,
-3.1,3.1,0.02,,-9.3,,,,
-7.28,7.28,0.02,,-21.84,,,,
-11.72,11.72,0.02,,-35.16,,,,
-16.03,16.03,0.02,,-48.09,,,,
-20.16,20.16,0.02,,-60.48,,,,
-23.97,23.97,0.02,,-71.91,,,,
-27.34,27.34,0.02,,-82.02,,,,
-30.41,30.41,0.02,,-91.23,,,,
-32.97,32.97,0.02,,-98.91,,,,
-35.28,35.28,0.02,,-105.84,,,,
-36.28,36.28,0.02,,-108.84,,,,
-37.78,37.78,0.02,,-113.34,,,,
-38.66,38.66,0.02,,-115.98,,,,
-38.85,38.85,0.02,,-116.55,,,,
-38.41,38.41,0.02,,-115.23,,,,
-37.22,37.22,0.02,,-111.66,,,,
-35.28,35.28,0.02,,-105.84,,,,
-32.72,32.72,0.02,,-98.16,,,,
-29.66,29.66,0.02,,-88.98,,,,
-26.16,26.16,0.02,,-78.48,,,,
-22.09,22.09,0.02,,-66.27,,,,
-17.72,17.72,0.02,,-53.16,,,,
-13.1,13.1,0.02,,-39.3,,,,
-8.16,8.16,0.02,,-24.48,,,,
-3.1,3.1,0.02,,-9.3,,,,
2.03,-2.03,0.02,,6.09,,,,
4.41,-4.41,0.02,,13.23,,,,
9.34,-9.34,0.02,,28.02,,,,
13.84,-13.84,0.02,,41.52,,,,
17.84,-17.84,0.02,,53.52,,,,
21.4,-21.4,0.02,,64.2,,,,
24.15,-24.15,0.02,,72.45,,,,
25.97,-25.97,0.02,,77.91,,,,
27.22,-27.22,0.02,,81.66,,,,
27.4,-27.4,0.02,,82.2,,,,
26.84,-26.84,0.02,,80.52,,,,
25.47,-25.47,0.02,,76.41,,,,
23.34,-23.34,0.02,,70.02,,,,
20.4,-20.4,0.02,,61.2,,,,
16.78,-16.78,0.02,,50.34,,,,
12.65,-12.65,0.02,,37.95,,,,
10.47,-10.47,0.02,,31.41,,,,
5.78,-5.78,0.02,,17.34,,,,
0.78,-0.78,0.02,,2.34,,,,
-4.16,4.16,0.02,,-12.48,,,,
-9.35,9.35,0.02,,-28.05,,,,
-11.72,11.72,0.02,,-35.16,,,,
-16.66,16.66,0.02,,-49.98,,,,
-21.09,21.09,0.02,,-63.27,,,,
-25.09,25.09,0.02,,-75.27,,,,
-28.59,28.59,0.02,,-85.77,,,,
-31.47,31.47,0.02,,-94.41,,,,
-34.16,34.16,0.02,,-102.48,,,,
-36.28,36.28,0.02,,-108.84,,,,
-37.91,37.91,0.02,,-113.73,,,,
-38.97,38.97,0.02,,-116.91,,,,
-39.66,39.66,0.02,,-118.98,,,,
-39.66,39.66,0.02,,-118.98,,,,
-39.03,39.03,0.02,,-117.09,,,,
-37.72,37.72,0.02,,-113.16,,,,
-35.6,35.6,0.02,,-106.8,,,,
-32.72,32.72,0.02,,-98.16,,,,
-29.41,29.41,0.02,,-88.23,,,,
-25.66,25.66,0.02,,-76.98,,,,
-21.53,21.53,0.02,,-64.59,,,,
-17.16,17.16,0.02,,-51.48,,,,
-12.66,12.66,0.02,,-37.98,,,,
-7.97,7.97,0.02,,-23.91,,,,
-3.22,3.22,0.02,,-9.66,,,,
-0.85,0.85,0.02,,-2.55,,,,
3.53,-3.53,0.02,,10.59,,,,
7.41,-7.41,0.02,,22.23,,,,
10.84,-10.84,0.02,,32.52,,,,
13.72,-13.72,0.02,,41.16,,,,
15.84,-15.84,0.02,,47.52,,,,
17.15,-17.15,0.02,,51.45,,,,
17.59,-17.59,0.02,,52.77,,,,
17.9,-17.9,0.02,,53.7,,,,
17.34,-17.34,0.02,,52.02,,,,
16.09,-16.09,0.02,,48.27,,,,
14.09,-14.09,0.02,,42.27,,,,
11.47,-11.47,0.02,,34.41,,,,
8.4,-8.4,0.02,,25.2,,,,
4.78,-4.78,0.02,,14.34,,,,
0.78,-0.78,0.02,,2.34,,,,
-3.28,3.28,0.02,,-9.84,,,,
-5.28,5.28,0.02,,-15.84,,,,
-9.47,9.47,0.02,,-28.41,,,,
-13.53,13.53,0.02,,-40.59,,,,
-17.22,17.22,0.02,,-51.66,,,,
-20.59,20.59,0.02,,-61.77,,,,
-23.41,23.41,0.02,,-70.23,,,,
-25.78,25.78,0.02,,-77.34,,,,
-27.91,27.91,0.02,,-83.73,,,,
-29.47,29.47,0.02,,-88.41,,,,
-30.53,30.53,0.02,,-91.59,,,,
-31.22,31.22,0.02,,-93.66,,,,
-31.34,31.34,0.02,,-94.02,,,,
-30.78,30.78,0.02,,-92.34,,,,
-29.41,29.41,0.02,,-88.23,,,,
-27.47,27.47,0.02,,-82.41,,,,
-26.22,26.22,0.02,,-78.66,,,,
-23.28,23.28,0.02,,-69.84,,,,
-19.97,19.97,0.02,,-59.91,,,,
-16.22,16.22,0.02,,-48.66,,,,
-12.03,12.03,0.02,,-36.09,,,,
-7.91,7.91,0.02,,-23.73,,,,
-3.35,3.35,0.02,,-10.05,,,,
1.22,-1.22,0.02,,3.66,,,,
5.84,-5.84,0.02,,17.52,,,,
7.91,-7.91,0.02,,23.73,,,,
11.97,-11.97,0.02,,35.91,,,,
15.72,-15.72,0.02,,47.16,,,,
18.72,-18.72,0.02,,56.16,,,,
21.22,-21.22,0.02,,63.66,,,,
22.97,-22.97,0.02,,68.91,,,,
24.03,-24.03,0.02,,72.09,,,,
24.34,-24.34,0.02,,73.02,,,,
23.9,-23.9,0.02,,71.7,,,,
22.78,-22.78,0.02,,68.34,,,,
20.9,-20.9,0.02,,62.7,,,,
18.28,-18.28,0.02,,54.84,,,,
15.03,-15.03,0.02,,45.09,,,,
11.22,-11.22,0.02,,33.66,,,,
7.09,-7.09,0.02,,21.27,,,,
4.78,-4.78,0.02,,14.34,,,,
0.15,-0.15,0.02,,0.45,,,,
-4.59,4.59,0.02,,-13.77,,,,
-9.53,9.53,0.02,,-28.59,,,,
-14.22,14.22,0.02,,-42.66,,,,
-16.72,16.72,0.02,,-50.16,,,,
-21.03,21.03,0.02,,-63.09,,,,
-25.03,25.03,0.02,,-75.09,,,,
-28.53,28.53,0.02,,-85.59,,,,
-31.28,31.28,0.02,,-93.84,,,,
-33.78,33.78,0.02,,-101.34,,,,
-35.66,35.66,0.02,,-106.98,,,,
-37.1,37.1,0.02,,-111.3,,,,
-38.1,38.1,0.02,,-114.3,,,,
-38.53,38.53,0.02,,-115.59,,,,
-38.41,38.41,0.02,,-115.23,,,,
-37.47,37.47,0.02,,-112.41,,,,
-35.78,35.78,0.02,,-107.34,,,,
-33.41,33.41,0.02,,-100.23,,,,
-30.28,30.28,0.02,,-90.84,,,,
-26.41,26.41,0.02,,-79.23,,,,
-22.34,22.34,0.02,,-67.02,,,,
-17.91,17.91,0.02,,-53.73,,,,
-12.91,12.91,0.02,,-38.73,,,,
-7.66,7.66,0.02,,-22.98,,,,
-2.35,2.35,0.02,,-7.05,,,,
0.34,-0.34,0.02,,1.02,,,,
5.66,-5.66,0.02,,16.98,,,,
11.03,-11.03,0.02,,33.09,,,,
15.97,-15.97,0.02,,47.91,,,,
20.4,-20.4,0.02,,61.2,,,,
24.34,-24.34,0.02,,73.02,,,,
27.47,-27.47,0.02,,82.41,,,,
29.9,-29.9,0.02,,89.7,,,,
31.72,-31.72,0.02,,95.16,,,,
32.59,-32.59,0.02,,97.77,,,,
32.78,-32.78,0.02,,98.34,,,,
32.03,-32.03,0.02,,96.09,,,,
30.47,-30.47,0.02,,91.41,,,,
28.09,-28.09,0.02,,84.27,,,,
25.15,-25.15,0.02,,75.45,,,,
21.59,-21.59,0.02,,64.77,,,,
19.4,-19.4,0.02,,58.2,,,,
15.28,-15.28,0.02,,45.84,,,,
10.65,-10.65,0.02,,31.95,,,,
5.91,-5.91,0.02,,17.73,,,,
1.09,-1.09,0.02,,3.27,,,,
-3.53,3.53,0.02,,-10.59,,,,
-8.16,8.16,0.02,,-24.48,,,,
-10.41,10.41,0.02,,-31.23,,,,
-14.53,14.53,0.02,,-43.59,,,,
-17.97,17.97,0.02,,-53.91,,,,
-20.97,20.97,0.02,,-62.91,,,,
-23.28,23.28,0.02,,-69.84,,,,
-24.84,24.84,0.02,,-74.52,,,,
-25.84,25.84,0.02,,-77.52,,,,
-26.72,26.72,0.02,,-80.16,,,,
-27.03,27.03,0.02,,-81.09,,,,
-27.03,27.03,0.02,,-81.09,,,,
-26.66,26.66,0.02,,-79.98,,,,
-25.97,25.97,0.02,,-77.91,,,,
-24.97,24.97,0.02,,-74.91,,,,
-23.41,23.41,0.02,,-70.23,,,,
-21.09,21.09,0.02,,-63.27,,,,
-18.34,18.34,0.02,,-55.02,,,,
-14.97,14.97,0.02,,-44.91,,,,
-11.35,11.35,0.02,,-34.05,,,,
-7.66,7.66,0.02,,-22.98,,,,
-3.97,3.97,0.02,,-11.91,,,,
-2.22,2.22,0.02,,-6.66,,,,
1.15,-1.15,0.02,,3.45,,,,
4.53,-4.53,0.02,,13.59,,,,
7.47,-7.47,0.02,,22.41,,,,
8.78,-8.78,0.02,,26.34,,,,
11.28,-11.28,0.02,,33.84,,,,
13.09,-13.09,0.02,,39.27,,,,
14.22,-14.22,0.02,,42.66,,,,
14.65,-14.65,0.02,,43.95,,,,
14.4,-14.4,0.02,,43.2,,,,
13.53,-13.53,0.02,,40.59,,,,
12.09,-12.09,0.02,,36.27,,,,
10.03,-10.03,0.02,,30.09,,,,
7.59,-7.59,0.02,,22.77,,,,
4.66,-4.66,0.02,,13.98,,,,
2.91,-2.91,0.02,,8.73,,,,
-0.47,0.47,0.02,,-1.41,,,,
-4.16,4.16,0.02,,-12.48,,,,
-8.03,8.03,0.02,,-24.09,,,,
-11.72,11.72,0.02,,-35.16,,,,
-15.28,15.28,0.02,,-45.84,,,,
-16.97,16.97,0.02,,-50.91,,,,
-19.97,19.97,0.02,,-59.91,,,,
-22.47,22.47,0.02,,-67.41,,,,
-24.53,24.53,0.02,,-73.59,,,,
-26.16,26.16,0.02,,-78.48,,,,
-27.34,27.34,0.02,,-82.02,,,,
-28.09,28.09,0.02,,-84.27,,,,
-28.41,28.41,0.02,,-85.23,,,,
-28.16,28.16,0.02,,-84.48,,,,
-27.28,27.28,0.02,,-81.84,,,,
-25.59,25.59,0.02,,-76.77,,,,
-23.34,23.34,0.02,,-70.02,,,,
-20.53,20.53,0.02,,-61.59,,,,
-17.16,17.16,0.02,,-51.48,,,,
-13.47,13.47,0.02,,-40.41,,,,
-9.41,9.41,0.02,,-28.23,,,,
-4.97,4.97,0.02,,-14.91,,,,
-0.41,0.41,0.02,,-1.23,,,,
1.84,-1.84,0.02,,5.52,,,,
6.41,-6.41,0.02,,19.23,,,,
11.03,-11.03,0.02,,33.09,,,,
15.22,-15.22,0.02,,45.66,,,,
18.97,-18.97,0.02,,56.91,,,,
22.22,-22.22,0.02,,66.66,,,,
24.78,-24.78,0.02,,74.34,,,,
26.65,-26.65,0.02,,79.95,,,,
27.9,-27.9,0.02,,83.7,,,,
28.34,-28.34,0.02,,85.02,,,,
28.09,-28.09,0.02,,84.27,,,,
27.03,-27.03,0.02,,81.09,,,,
25.22,-25.22,0.02,,75.66,,,,
24.03,-24.03,0.02,,72.09,,,,
21.15,-21.15,0.02,,63.45,,,,
17.72,-17.72,0.02,,53.16,,,,
13.9,-13.9,0.02,,41.7,,,,
9.72,-9.72,0.02,,29.16,,,,
5.22,-5.22,0.02,,15.66,,,,
0.47,-0.47,0.02,,1.41,,,,
-4.09,4.09,0.02,,-12.27,,,,
-6.28,6.28,0.02,,-18.84,,,,
-10.72,10.72,0.02,,-32.16,,,,
-14.72,14.72,0.02,,-44.16,,,,
-18.28,18.28,0.02,,-54.84,,,,
-21.34,21.34,0.02,,-64.02,,,,
-23.72,23.72,0.02,,-71.16,,,,
-25.34,25.34,0.02,,-76.02,,,,
-26.97,26.97,0.02,,-80.91,,,,
-27.78,27.78,0.02,,-83.34,,,,
-28.22,28.22,0.02,,-84.66,,,,
-28.22,28.22,0.02,,-84.66,,,,
-27.91,27.91,0.02,,-83.73,,,,
-27.03,27.03,0.02,,-81.09,,,,
-25.59,25.59,0.02,,-76.77,,,,
-23.41,23.41,0.02,,-70.23,,,,
-20.72,20.72,0.02,,-62.16,,,,
-17.59,17.59,0.02,,-52.77,,,,
-13.85,13.85,0.02,,-41.55,,,,
-9.97,9.97,0.02,,-29.91,,,,
-7.97,7.97,0.02,,-23.91,,,,
-4.03,4.03,0.02,,-12.09,,,,
0.03,-0.03,0.02,,0.09,,,,
3.84,-3.84,0.02,,11.52,,,,
5.66,-5.66,0.02,,16.98,,,,
9.03,-9.03,0.02,,27.09,,,,
12.15,-12.15,0.02,,36.45,,,,
14.65,-14.65,0.02,,43.95,,,,
16.47,-16.47,0.02,,49.41,,,,
17.59,-17.59,0.02,,52.77,,,,
17.97,-17.97,0.02,,53.91,,,,
17.59,-17.59,0.02,,52.77,,,,
16.47,-16.47,0.02,,49.41,,,,
14.59,-14.59,0.02,,43.77,,,,
12.15,-12.15,0.02,,36.45,,,,
9.03,-9.03,0.02,,27.09,,,,
7.41,-7.41,0.02,,22.23,,,,
3.59,-3.59,0.02,,10.77,,,,
-0.41,0.41,0.02,,-1.23,,,,
-4.66,4.66,0.02,,-13.98,,,,
-6.84,6.84,0.02,,-20.52,,,,
-10.97,10.97,0.02,,-32.91,,,,
-14.97,14.97,0.02,,-44.91,,,,
-18.59,18.59,0.02,,-55.77,,,,
-21.66,21.66,0.02,,-64.98,,,,
-24.28,24.28,0.02,,-72.84,,,,
-26.28,26.28,0.02,,-78.84,,,,
-27.66,27.66,0.02,,-82.98,,,,
-28.78,28.78,0.02,,-86.34,,,,
-29.22,29.22,0.02,,-87.66,,,,
-29.09,29.09,0.02,,-87.27,,,,
-28.59,28.59,0.02,,-85.77,,,,
-27.66,27.66,0.02,,-82.98,,,,
-26.09,26.09,0.02,,-78.27,,,,
-23.72,23.72,0.02,,-71.16,,,,
-20.84,20.84,0.02,,-62.52,,,,
-17.28,17.28,0.02,,-51.84,,,,
-13.35,13.35,0.02,,-40.05,,,,
-9.03,9.03,0.02,,-27.09,,,,
-6.91,6.91,0.02,,-20.73,,,,
-2.53,2.53,0.02,,-7.59,,,,
1.78,-1.78,0.02,,5.34,,,,
5.78,-5.78,0.02,,17.34,,,,
9.59,-9.59,0.02,,28.77,,,,
11.47,-11.47,0.02,,34.41,,,,
14.53,-14.53,0.02,,43.59,,,,
17.09,-17.09,0.02,,51.27,,,,
19.03,-19.03,0.02,,57.09,,,,
20.15,-20.15,0.02,,60.45,,,,
20.59,-20.59,0.02,,61.77,,,,
20.28,-20.28,0.02,,60.84,,,,
19.22,-19.22,0.02,,57.66,,,,
17.4,-17.4,0.02,,52.2,,,,
14.97,-14.97,0.02,,44.91,,,,
11.65,-11.65,0.02,,34.95,,,,
7.97,-7.97,0.02,,23.91,,,,
3.66,-3.66,0.02,,10.98,,,,
1.53,-1.53,0.02,,4.59,,,,
-3.1,3.1,0.02,,-9.3,,,,
-7.66,7.66,0.02,,-22.98,,,,
-12.16,12.16,0.02,,-36.48,,,,
-16.28,16.28,0.02,,-48.84,,,,
-20.09,20.09,0.02,,-60.27,,,,
-23.34,23.34,0.02,,-70.02,,,,
-25.97,25.97,0.02,,-77.91,,,,
-27.91,27.91,0.02,,-83.73,,,,
-29.16,29.16,0.02,,-87.48,,,,
-30.03,30.03,0.02,,-90.09,,,,
-30.22,30.22,0.02,,-90.66,,,,
-30.16,30.16,0.02,,-90.48,,,,
-29.66,29.66,0.02,,-88.98,,,,
-28.78,28.78,0.02,,-86.34,,,,
-27.41,27.41,0.02,,-82.23,,,,
-25.47,25.47,0.02,,-76.41,,,,
-23.09,23.09,0.02,,-69.27,,,,
-20.16,20.16,0.02,,-60.48,,,,
-16.59,16.59,0.02,,-49.77,,,,
-12.6,12.6,0.02,,-37.8,,,,
-8.53,8.53,0.02,,-25.59,,,,
-4.16,4.16,0.02,,-12.48,,,,
0.15,-0.15,0.02,,0.45,,,,
2.16,-2.16,0.02,,6.48,,,,
6.22,-6.22,0.02,,18.66,,,,
10.03,-10.03,0.02,,30.09,,,,
13.47,-13.47,0.02,,40.41,,,,
