#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
1340.71,1338.44,1348.84,1346.57,-0.03,2.53
1340.75,1338.52,1348.93,1346.69,-0.03,2.53
1340.47,1338.17,1348.79,1346.48,0.01,2.49
1340.93,1338.65,1349.30,1347.02,-0.03,2.53
1340.31,1338.07,1348.73,1346.48,0.02,2.48
1340.72,1338.50,1349.09,1346.87,0.01,2.49
1341.02,1338.82,1349.53,1347.33,-0.04,2.54
1340.73,1338.56,1349.29,1347.12,-0.06,2.56
1340.54,1338.49,1349.15,1347.10,-0.06,2.56
1340.35,1338.24,1349.00,1346.90,-0.03,2.53
1341.14,1339.06,1349.84,1347.76,-0.11,2.61
1340.25,1338.01,1349.00,1346.76,-0.06,2.56
1341.24,1338.19,1350.05,1346.99,-0.10,2.60
1340.94,1337.43,1349.79,1346.28,-0.06,2.56
1341.20,1337.33,1350.10,1346.23,-0.04,2.54
1341.63,1337.76,1350.58,1346.72,-0.07,2.57
1341.40,1337.26,1350.40,1346.27,-0.06,2.56
1341.36,1336.76,1350.41,1345.81,-0.02,2.52
1341.96,1337.26,1351.05,1346.36,-0.05,2.55
1341.60,1336.62,1350.75,1345.77,-0.02,2.52
1341.91,1336.74,1351.11,1345.93,-0.02,2.52
1341.91,1336.45,1351.16,1345.70,-0.01,2.51
